Timestamp,CPU_Usage_percent,CPU_Avg_percent,RAM_Usage_percent,RAM_Avg_percent,RAM_Used_MB,Disk_Read_MBps,Disk_Write_MBps,Disk_Read_Avg_MBps,Disk_Write_Avg_MBps,Net_Sent_KBps,Net_Recv_KBps,Net_Sent_Avg_KBps,Net_Recv_Avg_KBps
2026-01-12 12:33:56,17.2,17.2,68.2,68.2,10731.62,14.59,59.2,14.59,59.2,0.09,3.08,0.09,3.08
2026-01-12 12:34:01,17.9,17.55,69.6,68.9,10955.83,225.06,332.66,119.83,195.93,0.54,2.77,0.31,2.93
2026-01-12 12:34:06,43.0,26.03,74.7,70.83,11766.17,347.67,189.99,195.77,193.95,0.51,1.46,0.38,2.44
2026-01-12 12:34:11,57.2,33.83,74.7,71.8,11755.6,346.62,184.09,233.49,191.48,0.05,3.16,0.3,2.62
2026-01-12 12:34:16,56.8,38.42,74.8,72.4,11774.93,276.41,137.81,242.07,180.75,0.04,2.45,0.24,2.58
2026-01-12 12:34:21,58.3,41.73,74.9,72.82,11785.04,251.35,178.98,243.62,180.45,0.01,1.66,0.21,2.43
2026-01-12 12:34:26,54.4,43.54,74.7,73.09,11764.37,131.97,133.67,227.67,173.77,0.01,3.46,0.18,2.58
2026-01-12 12:34:31,43.2,43.5,75.5,73.39,11883.61,128.28,126.81,215.24,167.9,0.76,2.31,0.25,2.54
2026-01-12 12:34:36,51.2,44.36,75.0,73.57,11805.84,126.91,126.67,205.43,163.32,1.83,2.76,0.43,2.57
2026-01-12 12:34:41,53.2,45.24,71.7,73.38,11292.61,31.91,132.5,188.08,160.24,0.02,3.74,0.38,2.68
2026-01-12 12:34:46,50.6,45.73,71.7,73.23,11291.91,0.11,0.18,170.99,145.69,0.07,4.58,0.36,2.86
2026-01-12 12:34:51,50.8,46.15,72.4,73.16,11404.11,0.29,0.29,156.76,133.57,1.14,7.72,0.42,3.26
2026-01-12 12:34:56,31.3,45.01,72.1,73.08,11348.54,0.01,0.24,144.71,123.31,0.01,11.51,0.39,3.9
2026-01-12 12:35:01,46.4,45.11,71.8,72.99,11301.29,0.0,0.05,134.37,114.51,0.05,5.33,0.36,4.0
2026-01-12 12:35:06,52.1,45.57,72.4,72.95,11400.6,0.7,0.03,125.46,106.88,1.44,5.42,0.44,4.09
2026-01-12 12:35:11,56.1,46.23,75.0,73.08,11801.65,11.36,1.39,118.33,100.28,9.51,14.44,1.0,4.74
2026-01-12 12:35:16,53.4,46.65,76.4,73.27,12019.89,6.0,8.66,111.72,94.89,9.02,13.17,1.47,5.24
2026-01-12 12:35:21,48.2,46.74,76.9,73.47,12109.88,0.86,1.38,105.56,89.7,9.73,80.06,1.93,9.39
2026-01-12 12:35:26,58.3,47.35,79.3,73.78,12489.83,0.63,1.95,100.04,85.08,9.08,21.6,2.31,10.03
2026-01-12 12:35:31,53.6,47.66,77.2,73.95,12156.13,0.0,0.31,95.04,80.84,4.08,6.5,2.4,9.86
2026-01-12 12:35:36,51.0,47.82,75.2,74.01,11845.67,0.27,0.08,90.52,77.0,0.06,2.57,2.29,9.51
2026-01-12 12:35:41,46.8,47.77,78.2,74.2,12311.29,0.53,1.65,86.43,73.57,12.29,24.1,2.74,10.17
2026-01-12 12:35:46,50.4,47.89,81.6,74.52,12851.45,2.38,1.33,82.78,70.43,16.7,245.25,3.35,20.39
2026-01-12 12:35:51,57.9,48.3,83.0,74.88,13068.05,1.24,1.1,79.38,67.54,7.65,298.17,3.53,31.97
2026-01-12 12:35:56,52.9,48.49,81.9,75.16,12888.88,0.05,1.07,76.21,64.88,4.34,3.88,3.56,30.84
2026-01-12 12:36:01,50.8,48.58,81.5,75.4,12836.83,0.01,0.08,73.28,62.39,0.04,2.47,3.42,29.75
2026-01-12 12:36:06,37.8,48.18,81.7,75.63,12858.94,0.0,0.03,70.56,60.08,0.59,2.26,3.32,28.74
2026-01-12 12:36:11,43.4,48.01,81.3,75.84,12801.17,0.21,0.96,68.05,57.97,0.04,4.79,3.2,27.88
2026-01-12 12:36:16,50.7,48.1,80.4,75.99,12664.19,0.27,4.32,65.71,56.12,0.01,3.04,3.09,27.02
2026-01-12 12:36:21,51.6,48.22,80.5,76.14,12677.58,0.0,0.44,63.52,54.26,0.79,12.23,3.02,26.53
2026-01-12 12:36:26,43.7,48.07,80.5,76.28,12672.97,0.02,0.07,61.47,52.52,0.04,6.25,2.92,25.88
2026-01-12 12:36:31,37.0,47.73,80.3,76.41,12635.13,0.01,0.04,59.55,50.88,1.06,19.63,2.86,25.68
2026-01-12 12:36:36,50.6,47.81,80.2,76.52,12627.01,0.04,0.02,57.75,49.33,0.04,3.89,2.78,25.02
2026-01-12 12:36:41,50.4,47.89,80.3,76.64,12638.7,0.09,0.04,56.05,47.88,0.06,4.81,2.7,24.43
2026-01-12 12:36:46,50.7,47.97,80.7,76.75,12705.48,0.01,0.02,54.45,46.52,0.09,8.04,2.62,23.96
2026-01-12 12:36:51,30.7,47.49,80.8,76.86,12726.74,0.0,0.47,52.94,45.24,1.85,35.47,2.6,24.28
2026-01-12 12:36:56,50.9,47.58,80.5,76.96,12674.82,0.0,0.03,51.51,44.02,0.04,6.22,2.53,23.79
2026-01-12 12:37:01,51.7,47.69,80.4,77.05,12650.14,0.0,0.07,50.15,42.86,0.71,8.84,2.48,23.4
2026-01-12 12:37:06,50.7,47.77,80.8,77.15,12718.82,0.0,0.15,48.87,41.76,0.07,5.41,2.42,22.94
2026-01-12 12:37:12,42.2,47.63,81.1,77.25,12769.27,0.0,0.05,47.65,40.72,1.95,6.72,2.41,22.53
2026-01-12 12:37:17,36.9,47.37,80.8,77.33,12718.03,0.0,0.55,46.48,39.74,0.06,6.74,2.35,22.14
2026-01-12 12:37:22,53.9,47.52,80.8,77.42,12717.91,1.66,0.1,45.42,38.8,0.05,7.82,2.3,21.8
2026-01-12 12:37:27,52.0,47.63,80.7,77.49,12705.82,0.02,0.06,44.36,37.9,0.77,10.7,2.26,21.55
2026-01-12 12:37:32,46.8,47.61,81.0,77.57,12749.93,0.0,0.36,43.35,37.04,1.47,8.93,2.24,21.26
2026-01-12 12:37:37,32.8,47.28,80.7,77.64,12709.32,0.06,0.08,42.39,36.22,0.06,16.35,2.19,21.15
2026-01-12 12:37:42,49.6,47.33,80.8,77.71,12725.38,0.0,0.01,41.47,35.44,0.04,5.33,2.15,20.81
2026-01-12 12:37:47,51.7,47.42,80.4,77.77,12661.05,0.28,0.33,40.59,34.69,0.12,4.54,2.1,20.46
2026-01-12 12:37:52,47.2,47.42,80.7,77.83,12707.13,0.77,0.64,39.76,33.98,6.95,7.27,2.21,20.18
2026-01-12 12:37:57,32.2,47.11,79.8,77.87,12566.92,0.0,0.03,38.95,33.29,0.11,4.19,2.16,19.86
2026-01-12 12:38:02,49.9,47.16,79.7,77.91,12550.2,0.01,0.14,38.17,32.62,0.11,7.97,2.12,19.62
2026-01-12 12:38:07,49.6,47.21,79.9,77.95,12583.37,0.0,0.02,37.42,31.98,0.52,2.58,2.09,19.29
2026-01-12 12:38:12,49.6,47.26,80.1,77.99,12603.21,0.01,0.07,36.7,31.37,0.06,2.52,2.05,18.96
2026-01-12 12:38:17,36.2,47.05,80.4,78.03,12662.7,0.0,0.04,36.01,30.78,0.06,1.88,2.01,18.64
2026-01-12 12:38:22,41.9,46.95,81.2,78.09,12782.86,0.0,0.3,35.35,30.21,1.47,30.03,2.0,18.85
2026-01-12 12:38:27,60.9,47.21,83.1,78.18,13085.96,1.0,0.87,34.72,29.68,11.55,22.91,2.18,18.93
2026-01-12 12:38:32,59.6,47.43,83.7,78.28,13178.39,0.65,1.33,34.11,29.17,51.46,273.43,3.06,23.47
2026-01-12 12:38:37,48.0,47.44,83.8,78.38,13189.54,0.04,0.49,33.51,28.67,4.68,3.66,3.09,23.12
2026-01-12 12:38:42,41.1,47.33,83.6,78.47,13167.79,0.13,1.9,32.94,28.21,42.99,235.56,3.77,26.79
2026-01-12 12:38:47,53.0,47.42,84.4,78.57,13281.16,0.03,0.59,32.38,27.74,5.24,4.75,3.8,26.41
2026-01-12 12:38:52,52.5,47.51,82.7,78.64,13022.72,0.01,0.28,31.84,27.28,4.34,3.74,3.81,26.03
2026-01-12 12:38:57,51.9,47.58,81.5,78.68,12825.59,0.13,0.06,31.32,26.84,0.01,4.7,3.75,25.68
2026-01-12 12:39:02,39.3,47.45,82.8,78.75,13041.77,0.02,1.23,30.82,26.42,4.23,5.56,3.75,25.36
2026-01-12 12:39:07,43.6,47.39,81.5,78.79,12834.97,0.0,0.01,30.33,26.01,0.04,3.06,3.69,25.01
2026-01-12 12:39:12,51.5,47.45,81.6,78.84,12840.03,0.0,0.05,29.85,25.6,0.03,1.71,3.64,24.64
2026-01-12 12:39:17,52.3,47.52,81.6,78.88,12845.67,0.01,0.93,29.39,25.22,0.06,5.09,3.58,24.34
2026-01-12 12:39:22,45.4,47.49,81.6,78.92,12849.29,0.0,0.05,28.95,24.84,0.92,7.62,3.54,24.09
