Timestamp,CPU_Usage_percent,CPU_Avg_percent,RAM_Usage_percent,RAM_Avg_percent,RAM_Used_MB,Disk_Read_MBps,Disk_Write_MBps,Disk_Read_Avg_MBps,Disk_Write_Avg_MBps,Net_Sent_KBps,Net_Recv_KBps,Net_Sent_Avg_KBps,Net_Recv_Avg_KBps
2026-01-12 15:51:32,10.3,10.3,67.0,67.0,10543.64,0.07,25.2,0.07,25.2,6.0,3.83,6.0,3.83
2026-01-12 15:51:37,12.2,11.25,66.6,66.8,10484.86,1.49,20.79,0.78,22.99,0.07,5.67,3.04,4.75
2026-01-12 15:51:42,9.8,10.77,65.9,66.5,10375.23,0.01,22.34,0.52,22.78,0.06,5.97,2.04,5.15
2026-01-12 15:51:47,9.3,10.4,66.0,66.38,10394.88,0.01,24.9,0.4,23.31,0.88,3.71,1.75,4.79
2026-01-12 15:51:52,9.1,10.14,66.2,66.34,10418.71,0.0,23.26,0.32,23.3,0.27,16.27,1.46,7.09
2026-01-12 15:51:57,9.6,10.05,66.3,66.33,10434.66,0.02,30.47,0.27,24.49,2.37,6.75,1.61,7.03
2026-01-12 15:52:02,12.0,10.33,66.6,66.37,10490.26,9.03,30.3,1.52,25.32,1.44,7.21,1.58,7.06
2026-01-12 15:52:07,20.3,11.57,69.5,66.76,10936.64,98.97,20.13,13.7,24.67,0.12,3.81,1.4,6.65
2026-01-12 15:52:12,17.9,12.28,67.4,66.83,10617.81,91.04,315.03,22.29,56.93,4.71,3.77,1.77,6.33
2026-01-12 15:52:17,15.8,12.63,70.5,67.2,11091.25,366.19,222.65,56.68,73.51,0.1,1.64,1.6,5.86
2026-01-12 15:52:22,14.0,12.75,71.6,67.6,11269.8,463.23,214.06,93.64,86.28,0.06,3.23,1.46,5.62
2026-01-12 15:52:27,30.1,14.2,74.5,68.17,11721.63,349.73,174.82,114.98,93.66,1.67,8.02,1.48,5.82
2026-01-12 15:52:32,57.7,17.55,74.1,68.63,11657.32,225.08,173.5,123.45,99.8,0.13,5.82,1.38,5.82
2026-01-12 15:52:37,58.5,20.47,73.5,68.98,11574.75,133.39,132.55,124.16,102.14,0.09,6.17,1.28,5.85
2026-01-12 15:52:42,55.2,22.79,73.6,69.29,11587.66,128.95,127.62,124.48,103.84,0.03,3.08,1.2,5.66
2026-01-12 15:52:47,53.8,24.73,73.0,69.52,11492.39,123.0,156.99,124.39,107.16,0.15,4.76,1.13,5.61
2026-01-12 15:52:52,42.4,25.76,71.6,69.64,11264.37,0.56,56.16,117.1,104.16,0.88,29.6,1.12,7.02
2026-01-12 15:52:57,32.8,26.16,72.2,69.78,11368.07,2.94,0.54,110.76,98.41,0.92,5.11,1.11,6.91
2026-01-12 15:53:02,47.7,27.29,71.3,69.86,11220.85,0.02,0.93,104.93,93.28,0.02,2.01,1.05,6.65
2026-01-12 15:53:07,49.6,28.41,71.5,69.94,11252.49,0.08,0.08,99.69,88.62,0.09,3.54,1.0,6.5
2026-01-12 15:53:12,49.4,29.4,71.6,70.02,11274.7,0.0,0.09,94.94,84.4,0.74,3.96,0.99,6.38
2026-01-12 15:53:17,42.8,30.01,71.8,70.1,11300.48,0.0,0.99,90.63,80.61,0.06,1.82,0.95,6.17
2026-01-12 15:53:22,38.3,30.37,71.4,70.16,11245.52,0.05,10.8,86.69,77.57,0.6,3.75,0.93,6.06
2026-01-12 15:53:27,44.9,30.98,71.7,70.22,11282.95,0.36,0.26,83.09,74.35,0.66,3.41,0.92,5.95
2026-01-12 15:53:32,46.2,31.59,71.5,70.28,11251.78,3.55,0.04,79.91,71.38,0.01,3.02,0.89,5.84
2026-01-12 15:53:37,45.6,32.13,71.4,70.32,11234.06,0.0,0.01,76.84,68.64,0.05,2.64,0.85,5.71
2026-01-12 15:53:42,45.9,32.64,71.6,70.37,11272.7,0.06,0.03,73.99,66.09,0.04,2.03,0.82,5.58
