step,mean_reward,episode_length,time_elapsed,reward_rolling_std
1000,1.1133333444595337,21.086956024169922,0.0,
2000,1.036956548690796,20.478260040283203,0.4839620590209961,0.054006550213374506
3000,1.1488888263702393,21.311111450195312,1.291722059249878,0.05719330090769663
4000,1.1311111450195312,21.311111450195312,1.7962799072265625,0.04926427556987538
5000,1.1044443845748901,21.64444351196289,2.5010671615600586,0.04268704269936999
6000,1.08695650100708,20.69565200805664,3.0635831356048584,0.04332555139755254
7000,1.605405330657959,25.62162208557129,3.7393829822540283,0.2193407045833107
8000,1.2162790298461914,22.20930290222168,4.330729007720947,0.21628416015822638
9000,1.239534854888916,22.279069900512695,5.006816148757935,0.2093608242426315
10000,1.5315788984298706,25.263158798217773,5.534991979598999,0.22163687924265768
11000,1.2951219081878662,23.2439022064209,6.220853090286255,0.17853140052484054
12000,1.6361110210418701,26.66666603088379,6.752460956573486,0.18857288885516607
13000,1.7694443464279175,27.16666603088379,7.442422866821289,0.22460057202183925
14000,1.9468748569488525,29.9375,7.985939979553223,0.2457397360579909
15000,1.9843748807907104,30.15625,8.646699905395508,0.2789112352335474
16000,1.9264705181121826,28.676469802856445,9.242780923843384,0.14619468769759172
17000,1.8580644130706787,29.25806427001953,11.01997995376587,0.08481862529065401
18000,2.3741934299468994,33.54838562011719,11.491485118865967,0.2043405442382695
19000,2.06333327293396,32.13333511352539,12.20554518699646,0.20081400563510884
20000,2.531034469604492,33.75862121582031,12.80535888671875,0.2907537539120045
21000,2.4814813137054443,35.37036895751953,13.442216157913208,0.289728609516507
22000,2.4068963527679443,34.10344696044922,13.947978019714355,0.18287561442191103
23000,2.644444227218628,35.925926208496094,14.664623975753784,0.2200675015820029
24000,3.137500047683716,41.66666793823242,15.25459909439087,0.2910604111273695
25000,3.0681817531585693,40.727272033691406,15.900535821914673,0.33627886522603384
26000,2.864000082015991,38.25,16.38494086265564,0.30237498822733155
27000,3.069230794906616,39.77777862548828,17.123486042022705,0.20240859459664387
28000,2.9380953311920166,40.57143020629883,17.653015851974487,0.11123178116368539
29000,3.5333333015441895,45.5217399597168,18.349220037460327,0.26052756989930026
30000,4.638888835906982,55.421051025390625,18.832704782485962,0.735238758421187
31000,3.471428632736206,45.230770111083984,19.344917058944702,0.6700252556462488
32000,4.985714435577393,66.93333435058594,20.090935945510864,0.8612782417879327
33000,5.191666603088379,55.83333206176758,20.643805027008057,0.8114516797130007
34000,3.026315927505493,42.47368240356445,21.326730012893677,0.9594272721797218
35000,5.393333435058594,61.599998474121094,21.849355936050415,1.08453032587331
36000,5.112500190734863,63.400001525878906,22.50987410545349,0.9703960799003932
37000,5.853846549987793,75.85713958740234,23.00550413131714,1.0946360767187755
38000,4.980952262878418,54.25,23.746642112731934,1.0853642447427723
39000,4.681250095367432,56.8125,24.33339500427246,0.4442794588711098
40000,6.235714912414551,71.4000015258789,25.061112880706787,0.6472190173678174
41000,5.438461780548096,64.91666412353516,25.62964391708374,0.6306426662256445
42000,6.7916669845581055,77.91666412353516,26.350682020187378,0.8766898794525826
43000,6.36875057220459,75.17646789550781,26.860569953918457,0.8405088134744675
44000,4.070588111877441,47.6875,27.628890991210938,1.0743027264858673
45000,5.47692346572876,64.76923370361328,28.035758018493652,1.047270826663185
46000,4.636363506317139,53.41666793823242,28.744915008544922,1.1410413078538415
47000,5.638888835906982,69.05882263183594,29.23547887802124,0.8973864365611063
48000,8.261539459228516,92.61538696289062,29.99516987800598,1.6098701090010878
49000,5.644444465637207,66.44444274902344,30.54201602935791,1.3675822032378713
50000,6.583333492279053,75.57142639160156,31.15436291694641,1.3651236943246308
