Hyperparameter,Coefficient,P_Value,Significant
epsilon,546.7814395971596,4.683836234420369e-06,True
beta,-342.3188088498854,0.006181570677495474,True
batch_size,-76.89597434893422,0.53686444573224,False
num_epoch,-49.259563893993736,0.6751340374961501,False
