ID,cpu_type,cpu_freqcpu_cores,ram_gb,has_nvidia,nvidia_gpu_name,nvidia_vram_gb,os,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,learning_rate_schedule,ram_mb_used,ram_usage_percent,ram_avg_percent,benchmark_steps,benchmark_mean,benchmark_reached,source_run
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,32,256,0.0003,0.005,0.2,0.95,4,linear,12254.72,72.9,73.5,18000,0.93,True,BasicPPO.2.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,32,256,0.0003,0.005,0.2,0.95,5,linear,11715.62,73.6,73.05,14000,0.93,True,BasicPPO.2.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,32,256,0.0003,0.005,0.2,0.95,6,linear,12070.18,72.6,73.29,10000,0.07,False,BasicPPO.2.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,16,256,0.0003,0.005,0.2,0.95,3,linear,13430.9,61.9,64.08,12000,0.93,True,BasicPPO.4.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,32,256,0.0003,0.005,0.2,0.95,7,linear,10676.54,59.0,61.37,10000,0.93,True,BasicPPO.4.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,64,256,0.0003,0.005,0.2,0.95,3,linear,11511.45,68.2,68.0,34000,0.93,True,BasicPPO.4.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,64,256,0.0003,0.005,0.2,0.95,4,linear,11027.84,65.3,65.92,22000,0.93,True,BasicPPO.4.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,64,256,0.0003,0.005,0.2,0.95,5,linear,10675.71,66.3,65.99,16000,0.93,True,BasicPPO.4.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,64,256,0.0003,0.005,0.2,0.95,6,linear,11392.02,68.4,67.62,16000,0.93,True,BasicPPO.4.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,64,256,0.0003,0.005,0.2,0.95,7,linear,11993.32,74.7,71.87,14000,0.07,False,BasicPPO.4.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,128,256,0.0003,0.005,0.2,0.95,3,linear,12172.26,77.3,75.38,52000,0.93,True,BasicPPO.4.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,128,256,0.0003,0.005,0.2,0.95,4,linear,13388.87,72.7,75.57,36000,0.93,True,BasicPPO.4.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,128,256,0.0003,0.005,0.2,0.95,5,linear,11820.19,73.6,73.27,30000,0.93,True,BasicPPO.4.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,128,256,0.0003,0.005,0.2,0.95,6,linear,11813.75,74.9,74.84,26000,0.93,True,BasicPPO.4.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,16,256,0.0003,0.005,0.2,0.95,4,linear,11851.86,75.3,75.12,10000,0.93,True,BasicPPO.4.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,128,256,0.0003,0.005,0.2,0.95,7,linear,12053.62,74.2,73.98,2000,0.545,False,BasicPPO.4.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,16,256,0.0003,0.005,0.2,0.95,5,linear,11856.71,75.3,74.91,10000,0.93,True,BasicPPO.4.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,16,256,0.0003,0.005,0.2,0.95,6,linear,11843.41,75.2,74.05,8000,0.93,True,BasicPPO.4.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,16,256,0.0003,0.005,0.2,0.95,7,linear,12020.68,74.2,74.31,8000,0.93,True,BasicPPO.4.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,32,256,0.0003,0.005,0.2,0.95,3,linear,11625.96,67.9,68.89,20000,0.93,True,BasicPPO.4.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,32,256,0.0003,0.005,0.2,0.95,4,linear,10654.52,67.2,67.47,14000,0.93,True,BasicPPO.4.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,32,256,0.0003,0.005,0.2,0.95,5,linear,10603.36,67.2,67.2,12000,0.93,True,BasicPPO.4.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,32,256,0.0003,0.005,0.2,0.95,6,linear,10718.13,67.6,67.47,12000,0.93,True,BasicPPO.4.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,16,256,0.0003,0.005,0.04,0.95,3,linear,4207.72,25.7,26.34,20000,0.93,True,BasicPPOEpsilon.1.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,16,256,0.0003,0.005,0.06,0.95,7,linear,4649.82,28.4,28.23,14000,0.93,True,BasicPPOEpsilon.1.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,128,256,0.0003,0.005,0.06,0.95,7,linear,10683.5,61.1,54.29,28000,0.93,True,BasicPPOEpsilon.1.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,128,256,0.0003,0.005,0.08,0.95,3,linear,10636.45,64.1,64.51,50000,0.93,True,BasicPPOEpsilon.1.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,128,256,0.0003,0.005,0.08,0.95,4,linear,10114.94,51.0,61.73,36000,0.93,True,BasicPPOEpsilon.1.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,128,256,0.0003,0.005,0.08,0.95,5,linear,8555.86,53.0,52.05,30000,0.93,True,BasicPPOEpsilon.1.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,128,256,0.0003,0.005,0.08,0.95,6,linear,9492.01,55.9,54.11,24000,0.93,True,BasicPPOEpsilon.1.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,128,256,0.0003,0.005,0.08,0.95,7,linear,10158.66,60.3,57.27,24000,0.93,True,BasicPPOEpsilon.1.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,128,256,0.0003,0.005,0.12,0.95,3,linear,11534.58,71.2,60.28,58000,0.93,True,BasicPPOEpsilon.1.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,128,256,0.0003,0.005,0.12,0.95,4,linear,11261.53,62.6,66.29,36000,0.93,True,BasicPPOEpsilon.1.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,128,256,0.0003,0.005,0.12,0.95,5,linear,10329.86,62.4,62.69,32000,0.93,True,BasicPPOEpsilon.1.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,128,256,0.0003,0.005,0.12,0.95,6,linear,10491.27,66.5,63.9,24000,0.93,True,BasicPPOEpsilon.1.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,16,256,0.0003,0.005,0.08,0.95,3,linear,10657.79,67.1,66.23,18000,0.93,True,BasicPPOEpsilon.1.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,128,256,0.0003,0.005,0.12,0.95,7,linear,10643.07,58.7,64.26,24000,0.93,True,BasicPPOEpsilon.1.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,128,256,0.0003,0.005,0.14,0.95,3,linear,10871.7,64.3,64.56,50000,0.93,True,BasicPPOEpsilon.1.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,128,256,0.0003,0.005,0.14,0.95,4,linear,10334.38,60.5,63.03,30000,0.93,True,BasicPPOEpsilon.1.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,128,256,0.0003,0.005,0.14,0.95,5,linear,12473.66,61.8,66.04,2000,0.637,False,BasicPPOEpsilon.1.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,128,256,0.0003,0.005,0.14,0.95,6,linear,13217.39,59.5,71.99,28000,0.93,True,BasicPPOEpsilon.1.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,128,256,0.0003,0.005,0.14,0.95,7,linear,9451.66,59.4,58.82,22000,0.93,True,BasicPPOEpsilon.1.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,128,256,0.0003,0.005,0.16,0.95,3,linear,9679.12,56.6,57.12,54000,0.93,True,BasicPPOEpsilon.1.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,128,256,0.0003,0.005,0.16,0.95,4,linear,9143.36,56.6,56.03,40000,0.93,True,BasicPPOEpsilon.1.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,16,256,0.0003,0.005,0.04,0.95,3,linear,10522.43,63.1,63.84,22000,0.93,True,BasicPPOEpsilon.2.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,16,256,0.0003,0.005,0.06,0.95,7,linear,9965.73,62.2,62.1,12000,0.93,True,BasicPPOEpsilon.2.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,128,256,0.0003,0.005,0.06,0.95,7,linear,9866.2,61.7,61.72,28000,0.93,True,BasicPPOEpsilon.2.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,128,256,0.0003,0.005,0.08,0.95,3,linear,10872.89,66.2,63.92,54000,0.93,True,BasicPPOEpsilon.2.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,128,256,0.0003,0.005,0.08,0.95,4,linear,10633.65,66.3,65.99,40000,0.93,True,BasicPPOEpsilon.2.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,128,256,0.0003,0.005,0.08,0.95,5,linear,10615.47,65.3,64.24,30000,0.93,True,BasicPPOEpsilon.2.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,128,256,0.0003,0.005,0.08,0.95,6,linear,9901.59,62.9,61.28,28000,0.93,True,BasicPPOEpsilon.2.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,128,256,0.0003,0.005,0.08,0.95,7,linear,11518.13,68.7,67.3,24000,0.93,True,BasicPPOEpsilon.2.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,128,256,0.0003,0.005,0.12,0.95,3,linear,11944.24,64.7,70.42,50000,0.93,True,BasicPPOEpsilon.2.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,128,256,0.0003,0.005,0.12,0.95,4,linear,10518.7,55.9,60.67,42000,0.93,True,BasicPPOEpsilon.2.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,128,256,0.0003,0.005,0.12,0.95,5,linear,10828.82,66.0,62.25,32000,0.93,True,BasicPPOEpsilon.2.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,128,256,0.0003,0.005,0.12,0.95,6,linear,10567.61,57.5,60.47,22000,0.93,True,BasicPPOEpsilon.2.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,16,256,0.0003,0.005,0.08,0.95,3,linear,9423.55,54.7,56.46,16000,0.93,True,BasicPPOEpsilon.2.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,128,256,0.0003,0.005,0.12,0.95,7,linear,9092.29,55.2,55.52,20000,0.93,True,BasicPPOEpsilon.2.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,128,256,0.0003,0.005,0.14,0.95,3,linear,9047.67,53.9,54.47,46000,0.93,True,BasicPPOEpsilon.2.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,128,256,0.0003,0.005,0.14,0.95,4,linear,9489.54,58.5,55.86,38000,0.93,True,BasicPPOEpsilon.2.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,128,256,0.0003,0.005,0.14,0.95,5,linear,11334.96,71.1,62.76,32000,0.93,True,BasicPPOEpsilon.2.AK
