ID,cpu_type,cpu_cores,ram_gb,has_nvidia,nvidia_gpu_name,os,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,learning_rate_schedule,ram_mb_used,ram_usage_percent,ram_avg_percent,benchmark_steps,benchmark_mean,benchmark_reached
testFinal7.1,"Intel64 Family 6 Model 154 Stepping 3, GenuineIntel",20,16,1,NVIDIA GeForce RTX 4060 Laptop GPU,Windows,16,256,0.0003,0.005,0.2,0.95,3,linear,11195.81,70.0,68.82,2000,0.213,False
testFinal7.10,"Intel64 Family 6 Model 154 Stepping 3, GenuineIntel",20,16,1,NVIDIA GeForce RTX 4060 Laptop GPU,Windows,32,256,0.0003,0.005,0.2,0.95,7,linear,11195.79,70.0,69.76,2000,0.127,False
