ID,cpu_type,cpu_freqcpu_cores,ram_gb,has_nvidia,nvidia_gpu_name,nvidia_vram_gb,os,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,learning_rate_schedule,ram_mb_used,ram_usage_percent,ram_avg_percent,benchmark_steps,benchmark_mean,benchmark_reached
3DBallPPOEpsilon.4.SP.3,12th Gen Intel(R) Core(TM) i7-12700H,2.69,20,16,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,16,12000,0.0003,0.001,0.16,0.99,5,linear,11740.66,70.9,71.87,120000,100.0,True
3DBallPPOEpsilon.4.SP.30,12th Gen Intel(R) Core(TM) i7-12700H,2.69,20,16,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,32,12000,0.0003,0.001,0.18,0.99,7,linear,11507.58,71.8,71.55,180000,100.0,True
3DBallPPOEpsilon.4.SP.31,12th Gen Intel(R) Core(TM) i7-12700H,2.69,20,16,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,32,12000,0.0003,0.001,0.22,0.99,3,linear,11561.05,71.8,71.93,108000,100.0,True
3DBallPPOEpsilon.4.SP.32,12th Gen Intel(R) Core(TM) i7-12700H,2.69,20,16,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,32,12000,0.0003,0.001,0.22,0.99,4,linear,11585.17,72.0,71.96,132000,100.0,True
3DBallPPOEpsilon.4.SP.33,12th Gen Intel(R) Core(TM) i7-12700H,2.69,20,16,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,32,12000,0.0003,0.001,0.22,0.99,5,linear,11574.62,69.0,69.6,132000,100.0,True
3DBallPPOEpsilon.4.SP.34,12th Gen Intel(R) Core(TM) i7-12700H,2.69,20,16,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,32,12000,0.0003,0.001,0.22,0.99,6,linear,12635.54,69.8,69.71,168000,100.0,True
3DBallPPOEpsilon.4.SP.35,12th Gen Intel(R) Core(TM) i7-12700H,2.69,20,16,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,32,12000,0.0003,0.001,0.22,0.99,7,linear,11358.56,70.3,70.17,144000,100.0,True
3DBallPPOEpsilon.4.SP.36,12th Gen Intel(R) Core(TM) i7-12700H,2.69,20,16,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,32,12000,0.0003,0.001,0.24,0.99,3,linear,11457.38,70.1,70.61,168000,100.0,True
3DBallPPOEpsilon.4.SP.37,12th Gen Intel(R) Core(TM) i7-12700H,2.69,20,16,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,32,12000,0.0003,0.001,0.24,0.99,4,linear,11560.52,72.0,71.93,96000,100.0,True
3DBallPPOEpsilon.4.SP.38,12th Gen Intel(R) Core(TM) i7-12700H,2.69,20,16,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,32,12000,0.0003,0.001,0.24,0.99,5,linear,11628.09,72.1,71.93,84000,100.0,True
3DBallPPOEpsilon.4.SP.39,12th Gen Intel(R) Core(TM) i7-12700H,2.69,20,16,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,32,12000,0.0003,0.001,0.24,0.99,6,linear,11700.48,72.4,72.49,168000,100.0,True
3DBallPPOEpsilon.4.SP.4,12th Gen Intel(R) Core(TM) i7-12700H,2.69,20,16,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,16,12000,0.0003,0.001,0.16,0.99,6,linear,11728.21,72.2,72.42,192000,100.0,True
3DBallPPOEpsilon.4.SP.40,12th Gen Intel(R) Core(TM) i7-12700H,2.69,20,16,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,32,12000,0.0003,0.001,0.24,0.99,7,linear,11718.44,73.0,72.96,84000,100.0,True
3DBallPPOEpsilon.4.SP.41,12th Gen Intel(R) Core(TM) i7-12700H,2.69,20,16,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,64,12000,0.0003,0.001,0.16,0.99,3,linear,11767.41,73.1,73.16,144000,100.0,True
3DBallPPOEpsilon.4.SP.42,12th Gen Intel(R) Core(TM) i7-12700H,2.69,20,16,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,64,12000,0.0003,0.001,0.16,0.99,4,linear,11696.98,73.0,72.87,144000,100.0,True
3DBallPPOEpsilon.4.SP.43,12th Gen Intel(R) Core(TM) i7-12700H,2.69,20,16,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,64,12000,0.0003,0.001,0.16,0.99,5,linear,11748.12,71.8,71.83,180000,100.0,True
3DBallPPOEpsilon.4.SP.44,12th Gen Intel(R) Core(TM) i7-12700H,2.69,20,16,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,64,12000,0.0003,0.001,0.16,0.99,6,linear,11641.09,71.4,72.31,192000,100.0,True
3DBallPPOEpsilon.4.SP.45,12th Gen Intel(R) Core(TM) i7-12700H,2.69,20,16,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,64,12000,0.0003,0.001,0.16,0.99,7,linear,11573.15,69.8,71.09,132000,100.0,True
3DBallPPOEpsilon.4.SP.46,12th Gen Intel(R) Core(TM) i7-12700H,2.69,20,16,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,64,12000,0.0003,0.001,0.18,0.99,3,linear,11336.41,69.5,70.36,108000,100.0,True
3DBallPPOEpsilon.4.SP.47,12th Gen Intel(R) Core(TM) i7-12700H,2.69,20,16,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,64,12000,0.0003,0.001,0.18,0.99,4,linear,11365.17,70.8,70.69,108000,100.0,True
3DBallPPOEpsilon.4.SP.48,12th Gen Intel(R) Core(TM) i7-12700H,2.69,20,16,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,64,12000,0.0003,0.001,0.18,0.99,5,linear,11412.28,70.4,70.5,156000,100.0,True
3DBallPPOEpsilon.4.SP.49,12th Gen Intel(R) Core(TM) i7-12700H,2.69,20,16,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,64,12000,0.0003,0.001,0.18,0.99,6,linear,11438.0,70.1,70.57,120000,100.0,True
3DBallPPOEpsilon.4.SP.5,12th Gen Intel(R) Core(TM) i7-12700H,2.69,20,16,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,16,12000,0.0003,0.001,0.16,0.99,7,linear,11818.64,71.1,71.52,168000,100.0,True
3DBallPPOEpsilon.4.SP.50,12th Gen Intel(R) Core(TM) i7-12700H,2.69,20,16,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,64,12000,0.0003,0.001,0.18,0.99,7,linear,11584.16,72.4,72.05,120000,100.0,True
3DBallPPOEpsilon.4.SP.51,12th Gen Intel(R) Core(TM) i7-12700H,2.69,20,16,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,64,12000,0.0003,0.001,0.22,0.99,3,linear,11620.66,71.2,71.85,108000,100.0,True
3DBallPPOEpsilon.4.SP.52,12th Gen Intel(R) Core(TM) i7-12700H,2.69,20,16,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,64,12000,0.0003,0.001,0.22,0.99,4,linear,11566.58,70.6,71.66,108000,100.0,True
3DBallPPOEpsilon.4.SP.53,12th Gen Intel(R) Core(TM) i7-12700H,2.69,20,16,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,64,12000,0.0003,0.001,0.22,0.99,5,linear,11526.35,71.8,71.69,108000,100.0,True
3DBallPPOEpsilon.4.SP.54,12th Gen Intel(R) Core(TM) i7-12700H,2.69,20,16,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,64,12000,0.0003,0.001,0.22,0.99,6,linear,12782.16,75.9,74.85,96000,100.0,True
3DBallPPOEpsilon.4.SP.55,12th Gen Intel(R) Core(TM) i7-12700H,2.69,20,16,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,64,12000,0.0003,0.001,0.22,0.99,7,linear,12443.84,77.0,77.2,180000,100.0,True
3DBallPPOEpsilon.4.SP.56,12th Gen Intel(R) Core(TM) i7-12700H,2.69,20,16,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,64,12000,0.0003,0.001,0.24,0.99,3,linear,12380.2,74.7,75.36,96000,100.0,True
3DBallPPOEpsilon.4.SP.57,12th Gen Intel(R) Core(TM) i7-12700H,2.69,20,16,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,64,12000,0.0003,0.001,0.24,0.99,4,linear,12088.49,75.0,74.73,120000,100.0,True
