Hyperparameter,Coefficient,P_Value,Significant
epsilon,-1.0504016636142537,0.007895011028708154,True
beta,0.3239334603049442,0.4119953462534145,False
num_epoch,0.12348722604145064,0.7415039075819214,False
batch_size,-0.02717349269034948,0.9446482351789727,False
