Hyperparameter,Coefficient,P_Value,Significant
beta,-335.48259306676346,0.0017686076973097986,True
batch_size,69.6781844356865,0.5105076088815808,False
epsilon,67.34360041464545,0.5275006449254291,False
num_epoch,-38.97455456817376,0.7003140200212239,False
