step,time_elapsed,cumulative_reward,episode_length,extrinsic_reward,value_estimate,entropy,policy_loss,value_loss,learning_rate,epsilon,beta,reward_rolling_mean,reward_rolling_std,episode_length_rolling_mean
20000,0.0,-0.05263157933950424,999.0,-0.05263157933950424,0.02739458903670311,2.1120848655700684,0.023917973041534424,0.0063227638602256775,0.0002982720034196973,0.19942399859428406,0.004971257410943508,-0.05263157933950424,,999.0
30000,27.22786521911621,0.0,999.0,0.0,0.026635918766260147,2.1119384765625,0.028742345049977303,0.004767630714923143,0.00029661599546670914,0.19887199997901917,0.004943712614476681,-0.02631578966975212,0.03721614665552124,999.0
40000,53.55456614494324,-0.31578946113586426,999.0,-0.31578946113586426,0.026673929765820503,2.111056327819824,0.026106994599103928,0.01000151690095663,0.0002948880137410015,0.19829599559307098,0.004914970602840185,-0.1228070134917895,0.16918684821807567,999.0
50000,78.90851402282715,0.0,999.0,0.0,0.038340989500284195,2.1088333129882812,0.028945056721568108,0.007205889094620943,0.00029323200578801334,0.1977439969778061,0.004887425806373358,-0.09210526011884212,0.15117269500145827,999.0
60000,104.01882314682007,0.3684210479259491,999.0,0.3684210479259491,0.03641480207443237,2.108564615249634,0.017440184950828552,0.005199670325964689,0.00029150399495847523,0.1971679925918579,0.004858683329075575,1.4901161193847657e-09,0.24404258617252877,999.0
70000,129.358460187912,0.0,999.0,0.0,0.03456307575106621,2.109912395477295,0.020673740655183792,0.005480795633047819,0.00028984801610931754,0.19661599397659302,0.0048311385326087475,1.241763432820638e-09,0.21827832483464982,999.0
80000,155.20609521865845,0.0,999.0,0.0,0.038023870438337326,2.1107699871063232,0.02857285551726818,0.0027870547492057085,0.00028812000527977943,0.19604000449180603,0.004802396055310965,1.064368656703404e-09,0.19925993721062968,999.0
90000,174.14686822891235,1.0,999.0,1.0,0.043875712901353836,2.111844539642334,0.018854649737477303,0.006250656209886074,0.0002864639973267913,0.19548800587654114,0.004774851258844137,0.12500000093132257,0.3987887255893883,999.0
100000,197.3806631565094,0.42105263471603394,999.0,0.42105263471603394,0.035599131137132645,2.113424777984619,0.023840535432100296,0.00625769654288888,0.0002848080184776336,0.19493600726127625,0.00474730646237731,0.15789473801851273,0.38586521643233884,999.0
110000,221.63442039489746,1.0,999.0,1.0,0.042204007506370544,2.1109464168548584,0.027211857959628105,0.008000868372619152,0.0002830800076480955,0.19436000287532806,0.004718563985079527,0.24210526421666145,0.45084647141056594,999.0
120000,245.82378816604614,1.1578947305679321,999.0,1.1578947305679321,0.05169461667537689,2.1098899841308594,0.02318524569272995,0.007555707823485136,0.00028142399969510734,0.19380800426006317,0.0046910191886126995,0.3631578952074051,0.5201096051242903,999.0
130000,270.80857014656067,0.0,999.0,0.0,0.05134417489171028,2.1084468364715576,0.02181835286319256,0.009497575461864471,0.0002796960179693997,0.193231999874115,0.004662276711314917,0.3631578952074051,0.5201096051242903,999.0
140000,294.94076323509216,1.894736886024475,999.0,1.894736886024475,0.11085675656795502,2.102522611618042,0.0233231820166111,0.009770032949745655,0.00027804001001641154,0.1926800012588501,0.004634731914848089,0.584210529923439,0.6524098942775012,999.0
150000,319.8341362476349,1.0,999.0,1.0,0.05393875390291214,2.092833995819092,0.018986910581588745,0.009706278331577778,0.00027631199918687344,0.19210399687290192,0.004605989437550306,0.684210529923439,0.6291375906317883,999.0
160000,344.2500262260437,2.4210526943206787,999.0,2.4210526943206787,0.07308201491832733,2.0798678398132324,0.020585354417562485,0.017250964418053627,0.00027465602033771574,0.19155199825763702,0.004578444641083479,0.889473694562912,0.8204263804079407,999.0
170000,369.1323471069336,0.0,999.0,0.0,0.1016206368803978,2.06964111328125,0.02924250066280365,0.010657436214387417,0.0002730000123847276,0.19099999964237213,0.0045508998446166515,0.889473694562912,0.8204263804079407,999.0
180000,386.34391713142395,2.9473683834075928,999.0,2.9473683834075928,0.13389557600021362,2.072417736053467,0.029670435935258865,0.015649154782295227,0.0002712720015551895,0.19042399525642395,0.004522157367318869,1.1842105329036712,0.9793968704898697,999.0
190000,412.71543622016907,1.0,999.0,1.0,0.13689987361431122,2.046743631362915,0.024797458201646805,0.029196567833423615,0.0002696160227060318,0.18987199664115906,0.004494612570852041,1.1842105329036712,0.9793968704898697,999.0
200000,439.0893361568451,3.9473683834075928,999.0,3.9473683834075928,0.19317986071109772,2.0403389930725098,0.023638231679797173,0.014411562122404575,0.0002678880118764937,0.18929600715637207,0.004465870559215546,1.5368421077728271,1.2667589932411691,999.0
210000,466.61644315719604,1.0,999.0,1.0,0.17937618494033813,2.016958236694336,0.029529698193073273,0.04021561145782471,0.00026623200392350554,0.18874399363994598,0.004438325762748718,1.5368421077728271,1.2667589932411691,999.0
220000,494.20172810554504,3.78947377204895,999.0,3.78947377204895,0.2071935385465622,2.0194849967956543,0.027153760194778442,0.015871385112404823,0.0002645040221977979,0.188168004155159,0.004409583285450935,1.800000011920929,1.440691677928393,999.0
230000,521.136087179184,2.0,999.0,2.0,0.19684116542339325,2.0005059242248535,0.01775919273495674,0.02973356656730175,0.00026284801424480975,0.1876160055398941,0.004382038488984108,2.000000011920929,1.2944467951808363,999.0
240000,547.7940909862518,3.6842105388641357,999.0,3.6842105388641357,0.27958032488822937,1.9760334491729736,0.023608380928635597,0.056856486946344376,0.00026112000341527164,0.18704000115394592,0.004353296011686325,2.178947377204895,1.3978394331553856,999.0
250000,576.0552823543549,4.0,999.0,4.0,0.15251915156841278,1.9844932556152344,0.0217604860663414,0.06509576737880707,0.00025946402456611395,0.18648800253868103,0.004325751215219498,2.478947377204895,1.4380508206414586,999.0
260000,610.6941862106323,6.684210300445557,999.0,6.684210300445557,0.27641528844833374,1.9671932458877563,0.02115248143672943,0.07218203693628311,0.0002578080166131258,0.18593600392341614,0.00429820641875267,2.905263137817383,1.9571902946865902,999.0
270000,633.6114122867584,2.0,999.0,2.0,0.42736178636550903,1.9439749717712402,0.029530607163906097,0.07792343199253082,0.0002560800057835877,0.18535999953746796,0.004269463941454887,3.1052631378173827,1.7144578701044864,999.0
280000,662.8665382862091,8.684210777282715,999.0,8.684210777282715,0.5227608680725098,1.9237232208251953,0.02561531402170658,0.10124824941158295,0.00025442402693443,0.18480800092220306,0.00424191914498806,3.678947377204895,2.455444789770012,999.0
290000,689.2733550071716,1.0,999.0,1.0,0.5001586675643921,1.9083584547042847,0.024577690288424492,0.10474921762943268,0.0002526960161048919,0.18423199653625488,0.004213176667690277,3.678947377204895,2.455444789770012,999.0
300000,715.4443581104279,9.263157844543457,999.0,9.263157844543457,0.5048237442970276,1.8906967639923096,0.022201109677553177,0.1508624255657196,0.00025104000815190375,0.18367999792099,0.00418563187122345,4.210526323318481,3.028539746917438,999.0
310000,741.8343982696533,19.0,999.0,19.0,0.6532434821128845,1.8545926809310913,0.03299508988857269,0.10198893398046494,0.0002493120264261961,0.1831039935350418,0.004156889393925667,6.010526323318482,5.36003243510567,999.0
320000,767.3031961917877,13.684210777282715,999.0,13.684210777282715,0.7788742780685425,1.8297576904296875,0.01980604976415634,0.12957565486431122,0.00024765601847320795,0.18255199491977692,0.004129344597458839,7.000000023841858,5.799725146473184,999.0
330000,792.8170251846313,17.0,999.0,17.0,0.9454037547111511,1.8062554597854614,0.021775128319859505,0.16132715344429016,0.0002460000105202198,0.18199999630451202,0.004101799800992012,8.500000023841858,6.2825269620188555,999.0
340000,817.5125632286072,16.6842098236084,999.0,16.6842098236084,1.0331988334655762,1.8082765340805054,0.02078324742615223,0.18058086931705475,0.00024427202879451215,0.18142400681972504,0.0040730577893555164,9.799999952316284,6.515969858731548,999.0
350000,841.9136633872986,8.0,999.0,8.0,1.001975417137146,1.8039073944091797,0.019430601969361305,0.19782650470733643,0.000242616020841524,0.18087199330329895,0.004045512992888689,10.199999952316285,6.237171449200993,999.0
360000,859.4856781959534,16.421052932739258,999.0,16.421052932739258,1.0190376043319702,1.7678142786026,0.024347590282559395,0.17466945946216583,0.00024088802456390113,0.18029600381851196,0.004016770515590906,11.173684215545654,6.385581693201708,999.0
370000,884.4203472137451,12.0,999.0,12.0,1.1659181118011475,1.7635188102722168,0.020085208117961884,0.14615429937839508,0.00023923201661091298,0.17974400520324707,0.003989225719124079,12.173684215545654,5.512684340420554,999.0
380000,908.6721262931824,20.421052932739258,999.0,20.421052932739258,1.4137881994247437,1.7692105770111084,0.020963026210665703,0.16294905543327332,0.0002375040203332901,0.1791680008172989,0.003960483241826296,13.347368431091308,5.921472388565128,999.0
390000,933.3185803890228,23.0,999.0,23.0,1.455837368965149,1.7723376750946045,0.023514892905950546,0.17055533826351166,0.00023584802693221718,0.178616002202034,0.0039329384453594685,15.547368431091309,4.8061338848142245,999.0
400000,958.8674502372742,20.63157844543457,999.0,20.63157844543457,1.5453872680664062,1.752294898033142,0.020820435136556625,0.1609552502632141,0.00023412001610267907,0.17803999781608582,0.0039041959680616856,16.68421049118042,4.488554535294642,999.0
410000,983.45849609375,25.0,999.0,25.0,1.5863968133926392,1.7495871782302856,0.01890154927968979,0.1866808831691742,0.00023246402270160615,0.17748799920082092,0.003876651171594858,17.28421049118042,5.180235627981307,999.0
420000,1008.1211552619934,17.789474487304688,999.0,17.789474487304688,1.4789413213729858,1.7954553365707397,0.024317387491464615,0.16695083677768707,0.00023080802930053324,0.17693600058555603,0.0038491063751280308,17.694736862182616,5.023539535753379,999.0
430000,1032.968304157257,14.0,999.0,14.0,1.6538411378860474,1.7776621580123901,0.01768452860414982,0.22362607717514038,0.00022908001847099513,0.17635999619960785,0.003820363897830248,17.39473686218262,5.1574322463217115,999.0
440000,1057.4246411323547,22.736841201782227,999.0,22.736841201782227,1.8121498823165894,1.764788031578064,0.02236355096101761,0.19118112325668335,0.0002274240250699222,0.17580799758434296,0.0037928191013634205,18.0,5.413581293799775,999.0
450000,1075.6031332015991,14.0,999.0,14.0,1.7132478952407837,1.7934112548828125,0.020106812939047813,0.20251359045505524,0.00022569602879229933,0.17523199319839478,0.0037640768568962812,18.6,4.4241981297457205,999.0
460000,1100.326289176941,16.6842098236084,999.0,16.6842098236084,1.7069276571273804,1.8075544834136963,0.022511783987283707,0.1912178248167038,0.00022404002083931118,0.17467999458312988,0.003736532060429454,18.626315689086915,4.4105590266027495,999.0
470000,1125.1900992393494,41.0,999.0,41.0,1.6403834819793701,1.8032320737838745,0.02388160489499569,0.19173642992973328,0.0002223120245616883,0.1741040050983429,0.003707789583131671,21.526315689086914,7.800647896006829,999.0
480000,1149.7101831436157,23.526315689086914,999.0,23.526315689086914,1.8683058023452759,1.7873399257659912,0.022096319124102592,0.19777867197990417,0.00022065603116061538,0.173552006483078,0.0036802447866648436,21.83684196472168,7.813557284461958,999.0
490000,1174.2209901809692,23.0,999.0,23.0,1.9987021684646606,1.7688734531402588,0.02318267524242401,0.2170948088169098,0.00021900002320762724,0.17299999296665192,0.003652699990198016,21.83684196472168,7.813557284461958,999.0
500000,1199.1614971160889,22.63157844543457,999.0,22.63157844543457,1.9949010610580444,1.8059591054916382,0.02003382332623005,0.22179992496967316,0.00021727202693000436,0.17242400348186493,0.0036239575129002333,22.03684196472168,7.804870579473423,999.0
510000,1225.1063830852509,21.0,999.0,21.0,2.01159930229187,1.8058083057403564,0.020360741764307022,0.2581792175769806,0.00021561603352893144,0.17187200486660004,0.003596412716433406,21.63684196472168,7.7383516661333696,999.0
520000,1250.2146763801575,25.421052932739258,999.0,25.421052932739258,2.2460010051727295,1.777105689048767,0.0225457064807415,0.23478585481643677,0.00021388802269939333,0.17129600048065186,0.0035676704719662666,22.399999809265136,7.692945511354601,999.0
530000,1275.1295022964478,15.0,999.0,15.0,2.131181478500366,1.7896510362625122,0.022436778992414474,0.22538870573043823,0.0002122320292983204,0.17074400186538696,0.0035401256754994392,22.499999809265137,7.577251745612638,999.0
540000,1292.6821241378784,25.947368621826172,999.0,25.947368621826172,2.2217414379119873,1.7900241613388062,0.0207914300262928,0.21148818731307983,0.00021050403302069753,0.17016799747943878,0.0035113831982016563,22.82105255126953,7.656008572796719,999.0
550000,1317.7007040977478,30.0,999.0,30.0,2.311260223388672,1.7819503545761108,0.01830182783305645,0.2234364002943039,0.00020884802506770939,0.1696159988641739,0.003483838401734829,24.421052551269533,7.269850401639841,999.0
560000,1342.317253112793,27.6842098236084,999.0,27.6842098236084,2.2846999168395996,1.7961199283599854,0.02017425186932087,0.2356952279806137,0.0002071200287900865,0.1690399944782257,0.003455095924437046,25.52105255126953,6.785163420217032,999.0
570000,1367.1511590480804,19.0,999.0,19.0,2.476637840270996,1.7768534421920776,0.021540546789765358,0.2488878071308136,0.0002054640353890136,0.16848799586296082,0.0034275511279702187,23.32105255126953,4.331695793249786,999.0
580000,1391.848687171936,29.6842098236084,999.0,29.6842098236084,2.505558490753174,1.7619072198867798,0.024896832183003426,0.27452176809310913,0.00020380802743602544,0.16793599724769592,0.0034000063315033913,23.93684196472168,4.778748877488704,999.0
590000,1417.3965702056885,14.0,999.0,14.0,2.520954132080078,1.753630518913269,0.024935688823461533,0.23973378539085388,0.00020208003115840256,0.16735999286174774,0.003371264087036252,23.03684196472168,5.728012287307257,999.0
600000,1442.5659351348877,26.842105865478516,999.0,26.842105865478516,2.5973880290985107,1.733298659324646,0.02634250745177269,0.26650673151016235,0.00020042403775732964,0.16680799424648285,0.0033437192905694246,23.457894706726073,5.848400195217018,999.0
610000,1469.9543900489807,18.0,999.0,18.0,2.382126808166504,1.7395803928375244,0.0274256132543087,0.2204560488462448,0.00019869602692779154,0.16623200476169586,0.0033149768132716417,23.157894706726076,6.06154941533641,999.0
620000,1495.2530250549316,32.0,999.0,32.0,2.518601417541504,1.7055768966674805,0.025124555453658104,0.2509606182575226,0.00019704003352671862,0.16568000614643097,0.0032874320168048143,23.815789413452148,6.661782529565995,999.0
630000,1514.018512248993,35.0,999.0,35.0,2.6925578117370605,1.7002829313278198,0.023904409259557724,0.28285250067710876,0.00019531203724909574,0.1651040017604828,0.0032586895395070314,25.815789413452148,6.722950259314817,999.0
640000,1538.575543165207,31.473684310913086,999.0,31.473684310913086,2.690037727355957,1.69558846950531,0.023097477853298187,0.25313839316368103,0.0001936560292961076,0.1645520031452179,0.003231144743040204,26.36842098236084,6.957992900064116,999.0
650000,1563.6795670986176,35.0,999.0,35.0,2.845878839492798,1.684652328491211,0.02202623151242733,0.2788844108581543,0.00019200003589503467,0.164000004529953,0.0032035999465733767,26.86842098236084,7.412742609501526,999.0
660000,1588.883953332901,34.94736862182617,999.0,34.94736862182617,2.9953296184539795,1.6570055484771729,0.026732265949249268,0.286532461643219,0.0001902720396174118,0.16342400014400482,0.0031748577021062374,27.594736862182618,7.8447952519657616,999.0
