run_id,environment,seed,num_agents,algorithm,steps,batch_size,buffer_size,learning_rate,epochs,total_time,average_cpu,average_ram,reward_mean,reward_mean_step,early_reward_mean,early_reward_mean_step,final_reward_mean,final_reward_mean_step,best_reward,best_reward_step,step_interval,p_loss_mean,p_loss_mean_step,v_loss_mean,v_loss_mean_step,entropy_mean,entropy_mean_step,threshold_value,steps_to_threshold,time_to_threshold,threshold_version,run_reached_threshold,notes
R_AK_3DBall_2736,3DBall,2736,12.0000,ppo,500000,189,35462,0.0008631987323464693,3,212,34.6,83.7,1.2899,12000,1.1776,12000,100.0000,442000,100.0000,264000,480000,0.0575,36000,0.2095,36000,1.4136,12000,2.5657600000000005,120000,47.6,2025-11-21_09-33,,
R_AK_3DBall_2737,3DBall,2737,12.0000,ppo,500000,169,31783,0.0002857408541921581,3,226,44.2,83.5,1.2648,12000,1.1614,12000,99.4800,442000,100.0000,276000,480000,0.0618,36000,0.1996,36000,1.4167,12000,2.5657600000000005,108000,45.2,2025-11-21_09-33,,
R_AK_3DBall_2738,3DBall,2738,12.0000,ppo,500000,92,17254,0.0007609346117655024,3,276,48.3,83.7,1.9635,12000,1.2020,12000,97.2514,442000,100.0000,156000,480000,0.0828,24000,0.5678,24000,1.3946,12000,2.5657600000000005,60000,27.6,2025-11-21_09-33,,
R_AK_3DBall_2739,3DBall,2739,12.0000,ppo,500000,130,24472,0.0006648456813513039,3,239,47.3,83.9,1.4992,12000,1.1338,12000,99.5567,442000,100.0000,180000,480000,0.0716,36000,0.3235,36000,1.4015,12000,2.5657600000000005,84000,35.8,2025-11-21_09-33,,
R_AK_3DBall_2740,3DBall,2740,12.0000,ppo,500000,71,13449,0.0007728216020792615,3,252,50.4,83.6,2.7258,12000,1.1861,12000,99.7800,442000,100.0000,168000,480000,0.0948,24000,0.9254,24000,1.3939,12000,2.5657600000000005,48000,18.9,2025-11-21_09-33,,
R_AK_3DBall_2741,3DBall,2741,12.0000,ppo,500000,82,15503,0.0008118735307702706,3,219,32.8,84.0,1.7250,12000,1.2065,12000,100.0000,442000,100.0000,156000,480000,0.0890,24000,0.3765,24000,1.4039,12000,2.5657600000000005,60000,21.9,2025-11-21_09-33,,
R_AK_3DBall_2742,3DBall,2742,12.0000,ppo,500000,165,31002,0.0004394447013860624,3,224,43.3,83.8,1.3082,12000,1.1827,12000,100.0000,442000,100.0000,240000,480000,0.0617,36000,0.1913,36000,1.4147,12000,2.5657600000000005,96000,39.2,2025-11-21_09-33,,
R_AK_3DBall_2743,3DBall,2743,12.0000,ppo,500000,33,6342,0.0004984518536103259,3,286,50.0,82.9,22.2844,12000,1.7105,12000,100.0000,442000,100.0000,156000,480000,0.1377,12000,1.2813,12000,1.3503,12000,2.5657600000000005,36000,14.3,2025-11-21_09-33,,
R_AK_3DBall_2744,3DBall,2744,12.0000,ppo,500000,72,13503,0.000617692831755619,3,220,35.6,83.2,1.9851,12000,1.1849,12000,100.0000,442000,100.0000,120000,480000,0.0961,24000,0.6668,24000,1.4079,12000,2.5657600000000005,60000,22.0,2025-11-21_09-33,,
R_AK_3DBall_2745,3DBall,2745,12.0000,ppo,500000,170,31915,0.0008772297992322293,3,233,45.4,83.7,1.2102,12000,1.1129,12000,96.6457,442000,100.0000,276000,480000,0.0634,36000,0.1409,36000,1.4142,12000,2.5657600000000005,108000,46.6,2025-11-21_09-33,,
R_AK_3DBall_2746,3DBall,2746,12.0000,ppo,500000,191,35860,0.0007799525196328557,3,213,33.3,83.7,1.1499,12000,1.1141,12000,100.0000,442000,100.0000,312000,480000,0.0572,36000,0.2117,36000,1.4132,12000,2.5657600000000005,120000,47.9,2025-11-21_09-33,,
R_AK_3DBall_2747,3DBall,2747,12.0000,ppo,500000,85,16043,0.000793644816072118,3,271,48.8,83.7,2.0469,12000,1.1768,12000,100.0000,442000,100.0000,144000,480000,0.0849,24000,0.5370,24000,1.3965,12000,2.5657600000000005,60000,27.1,2025-11-21_09-33,,
R_AK_3DBall_2748,3DBall,2748,12.0000,ppo,500000,190,35648,0.0006424431691788987,3,232,43.0,83.9,1.3049,12000,1.1851,12000,98.4892,442000,100.0000,264000,480000,0.0560,36000,0.1881,36000,1.4126,12000,2.5657600000000005,96000,40.6,2025-11-21_09-33,,
R_AK_3DBall_2749,3DBall,2749,12.0000,ppo,500000,149,27940,0.00015914951844547335,3,236,45.0,83.7,1.2232,12000,1.1004,12000,100.0000,442000,100.0000,264000,480000,0.0649,36000,0.2324,36000,1.4198,12000,2.5657600000000005,108000,47.2,2025-11-21_09-33,,
R_AK_3DBall_2750,3DBall,2750,12.0000,ppo,500000,55,10323,7.24337155766501e-05,3,266,49.9,83.6,2.1916,12000,1.2500,12000,100.0000,442000,100.0000,120000,480000,0.1060,12000,0.4228,12000,1.4147,12000,2.5657600000000005,60000,26.6,2025-11-21_09-33,,
R_AK_3DBall_2751,3DBall,2751,12.0000,ppo,500000,61,11471,0.0003111541350203128,3,259,50.5,83.7,3.3641,12000,1.2712,12000,100.0000,442000,100.0000,132000,480000,0.1028,12000,0.8185,12000,1.3920,12000,2.5657600000000005,48000,19.4,2025-11-21_09-33,,
R_AK_3DBall_2752,3DBall,2752,12.0000,ppo,500000,171,32122,0.0007239105342741549,3,244,45.4,84.4,1.3118,12000,1.1404,12000,100.0000,442000,100.0000,312000,480000,0.0626,36000,0.1767,36000,1.4111,12000,2.5657600000000005,84000,36.6,2025-11-21_09-33,,
R_AK_3DBall_2753,3DBall,2753,12.0000,ppo,500000,122,22939,0.00015684369462124175,3,248,45.6,84.2,1.3200,12000,1.0728,12000,100.0000,442000,100.0000,228000,480000,0.0742,24000,0.2261,24000,1.4105,12000,2.5657600000000005,84000,37.2,2025-11-21_09-33,,
R_AK_3DBall_2754,3DBall,2754,12.0000,ppo,500000,139,26072,0.0004140080292277117,3,214,32.6,84.4,1.3415,12000,1.1823,12000,98.5000,442000,100.0000,276000,480000,0.0712,36000,0.2974,36000,1.4159,12000,2.5657600000000005,96000,37.4,2025-11-21_09-33,,
R_AK_3DBall_2755,3DBall,2755,12.0000,ppo,500000,83,15581,0.0008698311383614754,3,248,49.2,84.3,1.9456,12000,1.1378,12000,100.0000,442000,100.0000,144000,480000,0.0891,24000,0.5077,24000,1.4044,12000,2.5657600000000005,60000,24.8,2025-11-21_09-33,,
R_AK_3DBall_2756,3DBall,2756,12.0000,ppo,500000,146,27379,0.0002530512665105092,3,267,48.2,84.7,1.2404,12000,1.0875,12000,99.5033,442000,100.0000,252000,480000,0.0645,36000,0.2352,36000,1.4199,12000,2.5657600000000005,96000,46.7,2025-11-21_09-33,,
R_AK_3DBall_2757,3DBall,2757,12.0000,ppo,500000,157,29494,0.0001157692069666048,3,232,43.4,84.2,1.2123,12000,1.1161,12000,100.0000,442000,100.0000,300000,480000,0.0642,36000,0.2802,36000,1.4188,12000,2.5657600000000005,132000,58.0,2025-11-21_09-33,,
R_AK_3DBall_2758,3DBall,2758,12.0000,ppo,500000,181,34020,0.0004384341205318931,3,264,49.4,83.7,1.3053,12000,1.1357,12000,100.0000,442000,100.0000,252000,480000,0.0597,36000,0.1918,36000,1.4101,12000,2.5657600000000005,84000,39.6,2025-11-21_09-33,,
R_AK_3DBall_2759,3DBall,2759,12.0000,ppo,500000,86,16257,0.0008095467822303289,3,244,46.7,83.8,1.8054,12000,1.1643,12000,100.0000,442000,100.0000,168000,480000,0.0873,24000,0.4427,24000,1.3917,12000,2.5657600000000005,60000,24.4,2025-11-21_09-33,,
R_AK_3DBall_2760,3DBall,2760,12.0000,ppo,500000,107,20217,0.0006442255774127706,3,244,45.6,84.1,1.5271,12000,1.1439,12000,99.7117,442000,100.0000,192000,480000,0.0771,24000,0.2693,24000,1.4094,12000,2.5657600000000005,72000,30.5,2025-11-21_09-33,,
R_AK_3DBall_2761,3DBall,2761,12.0000,ppo,500000,137,25849,0.00043636049550430816,3,216,33.8,84.3,1.1689,12000,1.0844,12000,100.0000,442000,100.0000,276000,480000,0.0716,36000,0.2780,36000,1.4264,12000,2.5657600000000005,120000,48.5,2025-11-21_09-33,,
R_AK_3DBall_2762,3DBall,2762,12.0000,ppo,500000,115,21607,0.00018698122002103553,3,245,46.5,84.3,1.4842,12000,1.1500,12000,100.0000,442000,100.0000,216000,480000,0.0749,24000,0.2759,24000,1.4109,12000,2.5657600000000005,72000,30.6,2025-11-21_09-33,,
R_AK_3DBall_2763,3DBall,2763,12.0000,ppo,500000,39,7432,0.0006028810140022373,3,269,48.7,84.1,14.1838,12000,1.6060,12000,100.0000,442000,100.0000,84000,480000,0.1271,12000,1.4002,12000,1.3738,12000,2.5657600000000005,36000,13.5,2025-11-21_09-33,,
R_AK_3DBall_2764,3DBall,2764,12.0000,ppo,500000,45,8469,0.0004898577016391946,3,265,49.6,84.0,6.9016,12000,1.3439,12000,98.4939,442000,100.0000,132000,480000,0.1167,12000,1.0137,12000,1.3746,12000,2.5657600000000005,36000,13.3,2025-11-21_09-33,,
