step,time_elapsed,cumulative_reward,episode_length,extrinsic_reward,value_estimate,entropy,policy_loss,value_loss,learning_rate,epsilon,beta,reward_rolling_mean,reward_rolling_std,episode_length_rolling_mean
30000,0.0,-1.0,999.0,-2.0,-0.03570692613720894,1.5617130994796753,0.05489049851894379,0.018578574061393738,0.0009984831558540463,0.19984832406044006,0.009984847158193588,-1.0,,999.0
60000,55.23974847793579,-1.0,999.0,-2.0,-0.10803139209747314,1.1393969058990479,0.05563948303461075,0.009721670299768448,0.0009957837173715234,0.19957837462425232,0.009957878850400448,-1.0,0.0,999.0
90000,109.69093990325928,-1.0,999.0,-2.0,-0.1681426614522934,0.7821959257125854,0.05756476894021034,0.0014189376961439848,0.0009927807841449976,0.1992780864238739,0.009927880018949509,-1.0,0.0,999.0
120000,163.2925751209259,-1.0,999.0,-2.0,-0.18365825712680817,0.574849009513855,0.04850637540221214,0.0008802624652162194,0.0009897856507450342,0.19897855818271637,0.009897958487272263,-1.0,0.0,999.0
150000,216.3869607448578,-0.7836606502532959,964.5757446289062,-1.5673213005065918,-0.17792516946792603,0.59539794921875,0.051166385412216187,0.003971543628722429,0.0009867551270872355,0.1986755132675171,0.009867683984339237,-0.9567321300506592,0.09674989844834646,992.1151489257812
180000,271.5380883216858,-0.9242938160896301,985.90625,-1.8485876321792603,-0.12043718248605728,0.5608108043670654,0.04818570986390114,0.003578794887289405,0.000983619480393827,0.19836194813251495,0.009836358949542046,-0.9513257443904877,0.08754317971864702,991.080332438151
210000,329.4074478149414,-0.9273500442504883,989.03125,-1.8547000885009766,-0.12436753511428833,0.5751989483833313,0.05497408285737038,0.0017991100903600454,0.0009804470464587212,0.19804470241069794,0.00980466604232788,-0.9479006443704877,0.08042776946058577,990.7876063755581
240000,382.22668957710266,-0.9287097454071045,992.4193725585938,-1.857419490814209,-0.16431373357772827,0.4891575276851654,0.057666029781103134,0.0008881831308826804,0.0009774878853932023,0.19774878025054932,0.009775104001164436,-0.9455017820000648,0.07477013429751188,990.9915771484375
270000,439.34303998947144,-0.8010000586509705,982.1818237304688,-1.602000117301941,-0.1630304902791977,0.508597731590271,0.04963871091604233,0.0006356076919473708,0.000974598340690136,0.19745983183383942,0.009746236726641655,-0.9294460349612765,0.08492252043346034,990.0127156575521
300000,496.7447974681854,-0.6954938173294067,946.48486328125,-1.3909876346588135,-0.09420569241046906,0.6549011468887329,0.050082094967365265,0.007705228868871927,0.0009714963380247355,0.1971496343612671,0.009715248830616474,-0.9060508131980896,0.10901322648373897,985.6599304199219
330000,551.8230381011963,-0.71627277135849,958.0302734375,-1.43254554271698,-0.13782338798046112,0.5851787328720093,0.0499642975628376,0.006462472025305033,0.0009684980614110827,0.19684980809688568,0.009685295633971691,-0.8776780903339386,0.11836576709130994,981.5629577636719
360000,606.4787976741791,-0.792660653591156,972.96875,-1.585321307182312,-0.07329581677913666,0.6497350931167603,0.053214795887470245,0.006075351964682341,0.0009655540343374014,0.19655540585517883,0.009655884467065334,-0.8569441556930542,0.11257612134860591,978.9598327636719
390000,660.4068999290466,-0.8406000733375549,964.875,-1.6812001466751099,-0.09750404953956604,0.5107007026672363,0.051721833646297455,0.0037784355226904154,0.0009625967941246927,0.19625967741012573,0.009626341983675957,-0.8410041630268097,0.10073163943906456,975.5473327636719
420000,715.7490048408508,-0.6447125673294067,956.5625,-1.2894251346588135,-0.14089198410511017,0.6641119718551636,0.05165538936853409,0.004980858881026506,0.0009596676100045443,0.19596676528453827,0.009597078897058964,-0.8054754197597503,0.10107729003204358,971.3035827636719
450000,774.2755467891693,-0.8433133959770203,975.9666748046875,-1.6866267919540405,-0.18197989463806152,0.7400055527687073,0.05625855550169945,0.004289047792553902,0.0009565406944602728,0.19565406441688538,0.009565841406583786,-0.8114406943321228,0.10140652527237842,972.44267578125
480000,827.8796117305756,-0.8368552327156067,974.9666748046875,-1.6737104654312134,-0.15885566174983978,0.7065051198005676,0.05210040882229805,0.0014323466457426548,0.0009534312412142754,0.19534312188625336,0.009534778073430061,-0.8026968359947204,0.0941010517091676,971.3487182617188
