,coef,p_value,std_err,R_squared
const,2.3637047946746033,1.609473816434678e-105,0.07230189716782882,0.7281137265225281
learning_rate,-3334.095439369166,2.607455703851524e-40,217.92345941609284,0.7281137265225281
entropy,0.616866837018909,0.07832641138343012,0.3493087500600534,0.7281137265225281
