step,time_elapsed,cumulative_reward,episode_length,extrinsic_reward,value_estimate,entropy,policy_loss,value_loss,learning_rate,epsilon,beta,reward_rolling_mean,reward_rolling_std,episode_length_rolling_mean
30000,0.0,-0.8028975129127502,13.583778381347656,-0.8028975129127502,0.013770634308457375,1.4185185432434082,0.021010711789131165,0.47306308150291443,0.0002993846428580582,0.19979487359523773,0.004989764653146267,-0.8028975129127502,,13.583778381347656
60000,29.819483995437622,0.145864799618721,47.2689208984375,0.145864799618721,-0.45892006158828735,1.4165363311767578,0.0177927128970623,0.7664769887924194,0.0002987684274557978,0.19958947598934174,0.004979514982551336,-0.3285163566470146,0.6708762649252339,30.426349639892578
90000,66.68167400360107,5.70658540725708,263.94781494140625,5.70658540725708,-0.030274134129285812,1.413453459739685,0.016942236572504044,0.6260773539543152,0.00029784269281663,0.19928090274333954,0.004964116960763931,1.683184231321017,3.516511801247479,108.26683807373047
120000,96.87595629692078,28.02633285522461,768.94873046875,28.02633285522461,0.8059503436088562,1.411888837814331,0.015601670369505882,1.3402963876724243,0.0002969141351059079,0.19897137582302094,0.004948671907186508,8.268971387296915,13.480885481085567,273.43731117248535
150000,131.4608645439148,17.36942481994629,773.8204956054688,17.36942481994629,1.2217683792114258,1.410834550857544,0.01763910986483097,0.9181206226348877,0.00029597271350212395,0.1986575722694397,0.0049330126494169235,10.08906207382679,12.363832559185346,373.51394805908205
180000,160.19581580162048,74.62796783447266,893.3333129882812,74.62796783447266,2.8409035205841064,1.4106930494308472,0.01617578975856304,3.493516445159912,0.0002950493944808841,0.19834980368614197,0.004917655140161514,20.84554636726777,28.574520303436625,460.15050888061523
210000,194.27619695663452,54.149654388427734,926.1818237304688,54.149654388427734,3.701138973236084,1.4092937707901,0.01567143015563488,3.2969236373901367,0.00029411347350105643,0.19803781807422638,0.004902087617665529,25.603276084576333,28.963274790390226,526.7264110020229
240000,222.55667781829834,87.6776351928711,981.9000244140625,87.6776351928711,4.639036178588867,1.4086389541625977,0.020304067060351372,10.937999725341797,0.0002931799681391567,0.19772666692733765,0.004886560142040253,33.36257097311318,34.65091324475604,583.6231126785278
270000,257.10473442077637,71.9959945678711,910.9091186523438,71.9959945678711,6.15705680847168,1.4072495698928833,0.015722377225756645,4.728673458099365,0.00029223415185697377,0.19741138815879822,0.004870828241109848,37.655173594752945,34.877471245983934,619.9882244533962
300000,285.7504553794861,105.81682586669922,999.0,105.81682586669922,8.270833015441895,1.4057799577713013,0.012726668268442154,11.087564468383789,0.0002912877534981817,0.19709591567516327,0.00485508656129241,44.471338821947576,39.317671684926495,657.8894020080567
