step,mean_reward,episode_length,std_reward,time_elapsed
1000,-0.9168103337287903,8.93137264251709,0.0,0
2000,-0.8134454488754272,12.73611068725586,0.0,1
3000,-0.9097620844841003,9.98901081085205,0.0,2
4000,-0.7657598853111267,11.737500190734863,0.0,3
5000,-0.684083878993988,25.366666793823242,0.09857365184880497,4
6000,-0.7192562222480774,29.176469802856445,0.08808724572962612,5
7000,-0.5896890759468079,46.0,0.11772342772567694,6
8000,-0.1987289935350418,42.730770111083984,0.22887347896902516,7
9000,0.5268314480781555,39.54545593261719,0.5233741162477907,8
10000,7.698053359985352,107.57142639160156,3.5853155166638553,9
11000,-0.5959734916687012,153.3333282470703,3.5679657424640365,10
12000,-0.2802310585975647,122.0,3.527974750244356,11
13000,19.812345504760742,228.0,8.731495591563709,12
14000,3.1325361728668213,330.5,8.438363405827312,13
15000,5.054978847503662,142.5,8.384357452772553,14
16000,2.9958443641662598,673.0,7.878137070314733,15
17000,2.357229232788086,592.5,7.415230923963581,16
18000,12.414878845214844,999.0,4.162005695419514,17
19000,3.777556896209717,518.0,4.091649507195596,18
20000,10.589895248413086,999.0,4.704779530878193,19
21000,0.09554944187402725,163.5,5.365919449416715,20
23000,96.89706420898438,664.0,40.637260710068276,21
24000,70.27713012695312,999.0,44.316833229203354,22
25000,2.933629274368286,999.0,44.473126971313654,23
27000,14.316055297851562,999.0,43.96588715465289,24
28000,1.3201407194137573,999.0,43.71225885620895,25
29000,42.199520111083984,999.0,29.58182363490458,26
30000,2.458050489425659,999.0,17.339255917452274,27
31000,6.017121315002441,999.0,16.958130040317908,28
33000,14.503328323364258,999.0,16.961246125662672,29
34000,42.89006805419922,999.0,19.603630960991325,30
35000,8.113383293151855,999.0,16.304243243130482,31
37000,84.77076721191406,999.0,33.36321147546033,32
38000,0.673822820186615,999.0,34.44199931213713,33
39000,109.65177917480469,999.0,47.440516117232676,34
40000,60.34076690673828,999.0,47.50028834261494,35
41000,21.700328826904297,999.0,44.61201411739911,36
43000,4.9762139320373535,999.0,45.748761961492846,37
44000,4.960201740264893,999.0,44.871809749194135,38
45000,13.0105619430542,999.0,23.054578403528218,39
47000,92.51753234863281,999.0,37.034445086450646,40
48000,2.47946834564209,999.0,38.73669506983135,41
49000,1.0042527914047241,999.0,39.25112820891419,42
50000,4.432528018951416,999.0,39.3117294629859,43
