,cpu_type,cpu_freqcpu_cores,ram_gb,has_nvidia,nvidia_vram_gb,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,ram_mb_used,ram_usage_percent,ram_avg_percent,benchmark_steps,benchmark_mean
cpu_type,,,,,,,,,,,,,,,,,
cpu_freqcpu_cores,,,,,,,,,,,,,,,,,
ram_gb,,,,,,,,,,,,,,,,,
has_nvidia,,,,,,,,,,,,,,,,,
nvidia_vram_gb,,,,,,,,,,,,,,,,,
batch_size,,,,,,1.0,,,,0.10800718439106947,,0.035448725252105406,-0.023367595249491512,-0.06056843477587895,-0.02559566972107775,0.7189544364041642,0.026832741011817218
buffer_size,,,,,,,,,,,,,,,,,
learning_rate,,,,,,,,,,,,,,,,,
beta,,,,,,,,,,,,,,,,,
epsilon,,,,,,0.10800718439106947,,,,1.0,,-0.017174784324507572,0.05103399884815685,0.16158493364447934,0.12516422300044192,0.022499097068923744,-0.1361027015890568
lambd,,,,,,,,,,,,,,,,,
num_epoch,,,,,,0.035448725252105406,,,,-0.017174784324507572,,1.0,-0.04933497950551181,0.01723646058049466,-0.007450279335430752,-0.40077670896535844,-0.11287744125753461
ram_mb_used,,,,,,-0.023367595249491512,,,,0.05103399884815685,,-0.04933497950551181,1.0,0.8285387166825319,0.8894823459787429,-0.07002265177937883,-0.16764899822158388
ram_usage_percent,,,,,,-0.06056843477587895,,,,0.16158493364447934,,0.01723646058049466,0.8285387166825319,1.0,0.8748048255697586,-0.07666083669511112,-0.18335262143178263
ram_avg_percent,,,,,,-0.02559566972107775,,,,0.12516422300044192,,-0.007450279335430752,0.8894823459787429,0.8748048255697586,1.0,-0.09205372147466345,-0.1918613274624927
benchmark_steps,,,,,,0.7189544364041642,,,,0.022499097068923744,,-0.40077670896535844,-0.07002265177937883,-0.07666083669511112,-0.09205372147466345,1.0,0.1972315086436252
benchmark_mean,,,,,,0.026832741011817218,,,,-0.1361027015890568,,-0.11287744125753461,-0.16764899822158388,-0.18335262143178263,-0.1918613274624927,0.1972315086436252,1.0
