Timestamp,CPU_Usage_percent,CPU_Avg_percent,RAM_Usage_percent,RAM_Avg_percent,RAM_Used_MB,Disk_Read_MBps,Disk_Write_MBps,Disk_Read_Avg_MBps,Disk_Write_Avg_MBps,Net_Sent_KBps,Net_Recv_KBps,Net_Sent_Avg_KBps,Net_Recv_Avg_KBps
2025-12-03 09:35:22,49.0,39.89,78.4,79.72,6242.7,19.87,42.18,25.11,49.01,723.47,69.57,295.23,63.79
2025-12-03 09:35:27,42.1,39.94,78.2,79.69,6272.5,10.93,58.7,24.8,49.22,1507.04,91.94,321.01,64.39
2025-12-03 09:35:32,50.6,40.16,78.7,79.67,6136.78,39.37,86.73,25.11,50.0,50.14,331.59,315.37,69.96
2025-12-03 09:35:37,58.9,40.54,79.3,79.66,6105.41,29.73,159.06,25.2,52.23,342.86,88.91,315.93,70.35
2025-12-03 09:35:42,50.8,40.75,78.7,79.64,6050.69,24.43,81.23,25.19,52.81,334.63,94.7,316.3,70.83
2025-12-03 09:35:47,92.3,41.76,80.9,79.67,6211.39,78.48,26.33,26.23,52.29,840.09,104.16,326.57,71.49
2025-12-03 09:35:52,97.6,42.83,80.3,79.68,6247.78,35.27,8.3,26.41,51.44,1193.42,31.95,343.24,70.73
2025-12-03 09:35:57,84.7,43.62,84.9,79.78,6418.98,35.47,21.5,26.58,50.88,46.54,41.34,337.64,70.17
2025-12-03 09:36:02,62.2,43.96,80.4,79.79,5841.16,78.68,54.17,27.54,50.94,2961.32,167.01,386.23,71.96
2025-12-03 09:36:07,41.3,43.92,80.5,79.8,5968.03,155.73,24.63,29.87,50.46,314.35,85.88,384.92,72.22
2025-12-03 09:36:12,42.5,43.89,79.9,79.8,6115.19,120.68,25.31,31.49,50.01,42.97,58.96,378.82,71.98
2025-12-03 09:36:17,53.8,44.06,81.6,79.84,5968.55,74.61,51.78,32.25,50.04,51.74,23.57,373.08,71.13
2025-12-03 09:36:22,53.6,44.23,84.2,79.91,6050.42,56.41,24.8,32.67,49.61,255.69,86.89,371.05,71.4
2025-12-03 09:36:27,62.3,44.54,81.5,79.94,6072.02,55.26,60.75,33.05,49.8,320.68,196.52,370.2,73.52
