Step,Environment/Cumulative Reward,Environment/Episode Length,Losses/Policy Loss,Losses/Value Loss,Policy/Entropy,Policy/Learning Rate,Policy/Epsilon
5000,,,,,1.9456868171691895,,
10000,,,,,1.945609450340271,,
15000,,,0.025859259068965912,0.06004233658313751,1.940554141998291,0.0002963136066682637,0.19877119362354279
20000,4.378799915313721,621.0,,,1.937873363494873,,
25000,4.310600280761719,689.0,0.024555368348956108,0.055777762085199356,1.9284340143203735,0.00029323200578801334,0.1977439969778061
30000,,,,,1.9189810752868652,,
35000,-0.8078903555870056,968.1935424804688,0.02693691849708557,0.024468600749969482,1.9106289148330688,0.0002898249076679349,0.196608304977417
40000,,,,,1.9005041122436523,,
45000,4.728199481964111,271.0,0.02397388033568859,0.03159739077091217,1.9014307260513306,0.00028674330678768456,0.1955810934305191
50000,4.469799995422363,530.0,,,1.8948051929473877,,
55000,0.7464665770530701,919.6666870117188,0.019277939572930336,0.037910476326942444,1.8964236974716187,0.00028365509933792055,0.19455170631408691
60000,4.135900020599365,863.5,,,1.8835828304290771,,
65000,-0.558930516242981,992.7391357421875,,,1.8796350955963135,,
70000,,441.0,0.02884494513273239,0.08748174458742142,1.8785502910614014,0.0002803133975248784,0.19343779981136322
75000,3.01017165184021,580.6666870117188,,,1.8800933361053467,,
80000,1.9226000308990479,577.0,0.027994750067591667,0.0798206627368927,1.8712705373764038,0.00027723301900550723,0.19241100549697876
85000,1.8995500802993774,600.0,,,1.8699297904968262,,
90000,4.203933238983154,795.3333129882812,0.0321868434548378,0.05071349814534187,1.8657073974609375,0.000274149002507329,0.1913830041885376
95000,0.6111636161804199,875.3181762695312,,,1.8702483177185059,,
100000,1.0751293897628784,119.83333587646484,0.03076011687517166,0.11946471035480499,1.8549970388412476,0.00027106981724500656,0.19035659730434418
105000,2.2376222610473633,539.6666870117188,,,1.8615705966949463,,
110000,3.381999969482422,617.4000244140625,0.02759109064936638,0.15258647501468658,1.849477767944336,0.0002679945027921349,0.18933150172233582
115000,2.5766749382019043,547.875,,,1.8487305641174316,,
120000,2.7662668228149414,566.5,0.025713974609971046,0.17181849479675293,1.8376911878585815,0.00026491080643609166,0.188303604722023
125000,4.824800491333008,175.0,,,1.8389317989349365,,
130000,1.3498822450637817,708.2352905273438,0.028634361922740936,0.13675421476364136,1.8239398002624512,0.0002618325233925134,0.18727749586105347
135000,1.6022223234176636,619.4444580078125,,,1.8070999383926392,,
140000,2.2229111194610596,554.3333129882812,0.022358635440468788,0.16821788251399994,1.7851452827453613,0.00025874070706777275,0.18624690175056458
145000,3.693563461303711,396.7272644042969,,,1.7923660278320312,,
150000,3.9236857891082764,361.4285583496094,0.02666981890797615,0.20890595018863678,1.7785580158233643,0.0002556540130171925,0.18521800637245178
155000,0.8858999609947205,780.1666870117188,,,1.7676187753677368,,
160000,2.0730888843536377,659.0999755859375,0.03326655551791191,0.1066758781671524,1.7537041902542114,0.00025257302331738174,0.1841910034418106
165000,3.007415294647217,470.0833435058594,,,1.7454265356063843,,
170000,2.1728546619415283,553.9091186523438,0.02829558029770851,0.24045391380786896,1.7461260557174683,0.00024949232465587556,0.1831641048192978
175000,1.9743666648864746,525.0,,,1.7422195672988892,,
180000,3.9247076511383057,305.5384521484375,0.02105056680738926,0.21567755937576294,1.7257452011108398,0.00024641520576551557,0.18213839828968048
185000,2.283400058746338,573.0714111328125,,,1.6877809762954712,,
190000,4.78085470199585,218.5454559326172,0.02661590836942196,0.234191432595253,1.6638108491897583,0.00024332941393367946,0.18110980093479156
195000,0.5940181016921997,768.9091186523438,,,1.6626603603363037,,
200000,3.23580002784729,399.9090881347656,0.023197636008262634,0.19068612158298492,1.6579053401947021,0.0002402391255600378,0.18007969856262207
205000,4.227416515350342,355.3333435058594,,,1.612928867340088,,
210000,3.6340999603271484,365.29998779296875,0.02961024083197117,0.27822306752204895,1.634819746017456,0.00023712842084933072,0.17904280126094818
215000,3.470545530319214,392.5909118652344,,,1.5881708860397339,,
220000,4.1866888999938965,257.1111145019531,0.01827981323003769,0.31569910049438477,1.590550184249878,0.00023405012325383723,0.17801670730113983
225000,3.4094855785369873,399.5238037109375,,,1.5664136409759521,,
230000,4.189177989959717,254.44444274902344,,,1.580151081085205,,
235000,3.565014362335205,363.0,0.029878944158554077,0.29412969946861267,1.5624675750732422,0.00023096012591850013,0.1769866943359375
240000,3.839083433151245,327.0833435058594,,,1.5276037454605103,,
245000,4.891600131988525,107.83333587646484,0.022682571783661842,0.2661730945110321,1.5349366664886475,0.00022788452042732388,0.17596149444580078
250000,2.4340105056762695,460.1052551269531,,,1.5319206714630127,,
255000,4.028371334075928,256.71429443359375,0.031518347561359406,0.2758953273296356,1.4398815631866455,0.00022480291954707354,0.1749342978000641
260000,1.9584499597549438,515.6153564453125,,,1.4615223407745361,,
265000,3.421137571334839,335.9333190917969,0.0203000009059906,0.2775003910064697,1.4610515832901,0.0002217177243437618,0.1739058941602707
270000,3.9730143547058105,312.1428527832031,,,1.4787548780441284,,
275000,3.2074856758117676,363.4285583496094,0.027576575055718422,0.24678446352481842,1.4302031993865967,0.00021863702568225563,0.17287899553775787
