Step,Environment/Cumulative Reward,Environment/Episode Length,Losses/Policy Loss,Losses/Value Loss,Policy/Entropy,Policy/Learning Rate,Policy/Epsilon
5000,-0.7148325443267822,11.498753547668457,,,1.4189385175704956,,
10000,-0.732011616230011,11.477499961853027,,,1.4189385175704956,,
15000,-0.7332309484481812,11.512499809265137,,,1.4189385175704956,,
20000,-0.6649971604347229,11.602015495300293,,,1.418938398361206,,
25000,-0.7205334901809692,11.489999771118164,,,1.4189385175704956,,
30000,-0.6768541932106018,11.526315689086914,,,1.418938398361206,,
35000,-0.6984456777572632,11.523691177368164,,,1.4189385175704956,,
40000,-0.6762526035308838,11.517587661743164,,,1.4189385175704956,,
45000,-0.6497182250022888,11.608586311340332,0.02116023562848568,0.09113510698080063,1.419588565826416,0.00029877101769670844,0.19959034025669098
50000,-0.6503515243530273,11.633838653564453,,,1.4197417497634888,,
55000,-0.5998587012290955,11.543859481811523,,,1.4197417497634888,,
60000,-0.618648886680603,11.643037796020508,,,1.4197417497634888,,
65000,-0.6155536770820618,11.589420318603516,,,1.4197417497634888,,
70000,-0.61562579870224,11.575376510620117,,,1.4197416305541992,,
75000,-0.6290416717529297,11.623737335205078,,,1.4197417497634888,,
80000,-0.6014995574951172,11.650632858276367,,,1.4197416305541992,,
85000,-0.5498133301734924,11.602015495300293,0.02536791004240513,0.07425114512443542,1.4183293581008911,0.00029754199204035103,0.19918066263198853
90000,-0.45065370202064514,11.61111068725586,,,1.4174201488494873,,
95000,-0.43728598952293396,11.626262664794922,,,1.4174202680587769,,
100000,-0.44569388031959534,11.663290977478027,,,1.4174202680587769,,
105000,-0.42690590023994446,11.651515007019043,,,1.4174202680587769,,
110000,-0.5005820393562317,11.627847671508789,,,1.4174201488494873,,
115000,-0.4139498770236969,11.562813758850098,,,1.4174202680587769,,
120000,-0.38758864998817444,11.628787994384766,,,1.4174202680587769,,
125000,-0.38075947761535645,11.6489896774292,0.026238400489091873,0.11704527586698532,1.4156650304794312,0.0002963129954878241,0.19877099990844727
130000,-0.243781179189682,11.606060981750488,,,1.4132179021835327,,
135000,-0.26468148827552795,11.619647026062012,,,1.4132180213928223,,
140000,-0.19107110798358917,11.59445858001709,,,1.4132179021835327,,
145000,-0.2578270137310028,11.596977233886719,,,1.4132180213928223,,
150000,-0.17030082643032074,11.612091064453125,,,1.4132180213928223,,
