step,reward_rolling_mean
10000,-0.44692304730415344
20000,-0.6067212820053101
30000,-0.675973117351532
40000,-0.7058333158493042
50000,-0.8836751580238342
60000,-0.8440322279930115
70000,-0.7788975834846497
80000,-0.7288405299186707
90000,-0.6924999356269836
100000,-0.3504999577999115
110000,-0.4941904544830322
120000,-0.5689175128936768
130000,-0.4612182378768921
140000,-0.16999997198581696
150000,-0.15874996781349182
160000,-0.3253535032272339
170000,-0.3567756712436676
180000,-0.09424103796482086
190000,-0.13895924389362335
200000,-0.09077487885951996
210000,-0.040470559149980545
220000,-0.05866663530468941
230000,-0.023852111771702766
240000,-0.0828016921877861
250000,-0.10927532613277435
260000,-0.05303961783647537
270000,-0.09812496602535248
280000,0.07543309777975082
290000,0.13242191076278687
300000,0.1281379610300064
310000,0.10042376071214676
320000,0.16971634328365326
330000,0.09226768463850021
340000,0.14109893143177032
350000,0.2919365465641022
360000,0.32627299427986145
370000,0.5575810074806213
380000,0.4972727596759796
390000,0.5943418741226196
400000,0.585105299949646
410000,0.6780426502227783
420000,0.7412665486335754
430000,0.7310548424720764
440000,0.7688969969749451
450000,0.7916192412376404
460000,0.8203275203704834
470000,0.7840567827224731
480000,0.8451326489448547
490000,0.8497868776321411
500000,0.8529300093650818
