step,time_elapsed,cumulative_reward,episode_length,extrinsic_reward,value_estimate,entropy,policy_loss,value_loss,learning_rate,epsilon,beta,reward_rolling_mean,reward_rolling_std,episode_length_rolling_mean
30000,0.0,-1.0,999.0,-1.0,-0.10260005295276642,1.4661474227905273,0.06931288540363312,0.004707140848040581,0.00029951505712233484,0.19983835518360138,0.009983851574361324,-1.0,,999.0
60000,43.35211253166199,-0.9303515553474426,990.0,-0.9303515553474426,-0.0894351601600647,0.8905562162399292,0.06794710457324982,0.0019584144465625286,0.0002986216568388045,0.19954055547714233,0.009954100474715233,-0.9651757776737213,0.049248887512919254,994.5
90000,90.19559931755066,-0.9999871253967285,999.0,-0.9999871253967285,-0.09011664241552353,0.8278317451477051,0.07080253213644028,0.0005437222425825894,0.0002977482508867979,0.19924941658973694,0.009925016202032566,-0.976779560248057,0.04020783220626872,996.0
120000,127.21942472457886,-0.9339750409126282,995.53125,-0.9339750409126282,-0.09066789597272873,0.6683704257011414,0.07096441835165024,0.0020184405148029327,0.00029686870402656496,0.19895623624324799,0.009895727969706059,-0.9660784304141998,0.039189750777925546,995.8828125
150000,166.33590817451477,-0.9331875443458557,994.78125,-0.9331875443458557,-0.11337640881538391,0.7654839158058167,0.066321462392807,0.0014451941242441535,0.0002959806006401777,0.19866019487380981,0.009866153821349144,-0.959500253200531,0.03698972156963466,995.6625
180000,205.60964512825012,-0.922337532043457,983.96875,-0.922337532043457,-0.11986806988716125,0.7214748859405518,0.0681808590888977,0.0006704828701913357,0.000295070291031152,0.1983567625284195,0.009835840202867985,-0.9533064663410187,0.036397384183560255,993.7135416666666
210000,244.477721452713,-0.7861625552177429,972.875,-0.7861625552177429,-0.0996055006980896,0.8447430729866028,0.07225676625967026,0.001735721598379314,0.0002941342245321721,0.19804474711418152,0.00980466976761818,-0.9294287647519793,0.07137917818522363,990.7366071428571
240000,288.76999163627625,-0.7904375195503235,977.1875,-0.7904375195503235,-0.07942653447389603,0.7901442050933838,0.0700898990035057,0.0019832667894661427,0.00029324585921131074,0.19774861633777618,0.009775086306035519,-0.9120548591017723,0.08235261114149489,989.04296875
270000,332.4219114780426,-0.8987166881561279,981.375,-0.8987166881561279,-0.0655454471707344,0.7519081234931946,0.07319221645593643,0.0007234562654048204,0.0002923356951214373,0.19744522869586945,0.009744778275489807,-0.9105728401078118,0.07716201082320641,988.1909722222222
300000,374.81151580810547,-0.7683272957801819,949.4545288085938,-0.7683272957801819,-0.07123009860515594,0.5993795394897461,0.06497069448232651,0.0017841120716184378,0.0002914193901233375,0.19713979959487915,0.00971426535397768,-0.8963482856750489,0.08553246473136666,984.3173278808594
330000,416.7247824668884,-0.9997467398643494,999.0,-0.9997467398643494,-0.08277633786201477,0.5510695576667786,0.06824122369289398,0.00022371893282979727,0.00029052275931462646,0.19684092700481415,0.009684408083558083,-0.8963229596614838,0.08549839422752552,984.3173278808594
360000,458.90406799316406,-0.9272875785827637,988.774169921875,-0.9272875785827637,-0.09212465584278107,0.5640257596969604,0.06950095295906067,0.0007177634979598224,0.0002896265941672027,0.1965421885251999,0.009654565714299679,-0.8960165619850159,0.08536828857276668,984.1947448730468
390000,502.20187997817993,-0.8418000340461731,974.433349609375,-0.8418000340461731,-0.0903007835149765,0.5244996547698975,0.07217209041118622,0.0015732098836451769,0.0002887304581236094,0.1962434947490692,0.00962472427636385,-0.8801978528499603,0.07832761716958667,981.7380798339843
420000,544.452677488327,-0.9997143149375916,999.0,-0.9997143149375916,-0.08989300578832626,0.560040295124054,0.06644047796726227,0.00011988639744231477,0.0002878355444408953,0.19594517350196838,0.009594923816621304,-0.8867717802524566,0.08574961875021932,982.0849548339844
