ID,cpu_type,cpu_freqcpu_cores,ram_gb,has_nvidia,nvidia_gpu_name,nvidia_vram_gb,os,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,learning_rate_schedule,ram_mb_used,ram_usage_percent,ram_avg_percent,benchmark_steps,benchmark_mean,benchmark_reached
BasicPP0Epsilon.2.SS.1,Apple M4,unknown,10,16.0,False,,,Darwin,16,256,0.0003,0.005,0.04,0.95,3,linear,6548.05,73.8,75.86,20000,0.93,True
BasicPP0Epsilon.2.SS.10,Apple M4,unknown,10,16.0,False,,,Darwin,16,256,0.0003,0.005,0.06,0.95,7,linear,6443.05,77.2,76.22,14000,0.93,True
BasicPP0Epsilon.2.SS.100,Apple M4,unknown,10,16.0,False,,,Darwin,128,256,0.0003,0.005,0.06,0.95,7,linear,6328.64,77.9,76.62,24000,0.93,True
BasicPP0Epsilon.2.SS.101,Apple M4,unknown,10,16.0,False,,,Darwin,128,256,0.0003,0.005,0.08,0.95,3,linear,6483.42,72.5,75.53,46000,0.93,True
BasicPP0Epsilon.2.SS.102,Apple M4,unknown,10,16.0,False,,,Darwin,128,256,0.0003,0.005,0.08,0.95,4,linear,6538.12,77.4,74.55,38000,0.93,True
BasicPP0Epsilon.2.SS.103,Apple M4,unknown,10,16.0,False,,,Darwin,128,256,0.0003,0.005,0.08,0.95,5,linear,6164.56,77.0,76.58,32000,0.93,True
BasicPP0Epsilon.2.SS.104,Apple M4,unknown,10,16.0,False,,,Darwin,128,256,0.0003,0.005,0.08,0.95,6,linear,6254.66,77.2,77.26,28000,0.93,True
BasicPP0Epsilon.2.SS.105,Apple M4,unknown,10,16.0,False,,,Darwin,128,256,0.0003,0.005,0.08,0.95,7,linear,6007.03,79.6,79.56,20000,0.93,True
BasicPP0Epsilon.2.SS.106,Apple M4,unknown,10,16.0,False,,,Darwin,128,256,0.0003,0.005,0.12,0.95,3,linear,5634.05,78.8,81.67,52000,0.93,True
BasicPP0Epsilon.2.SS.107,Apple M4,unknown,10,16.0,False,,,Darwin,128,256,0.0003,0.005,0.12,0.95,4,linear,5570.83,82.1,81.1,40000,0.93,True
BasicPP0Epsilon.2.SS.108,Apple M4,unknown,10,16.0,False,,,Darwin,128,256,0.0003,0.005,0.12,0.95,5,linear,5833.02,80.0,80.66,30000,0.93,True
BasicPP0Epsilon.2.SS.109,Apple M4,unknown,10,16.0,False,,,Darwin,128,256,0.0003,0.005,0.12,0.95,6,linear,5686.16,81.3,81.22,26000,0.93,True
BasicPP0Epsilon.2.SS.11,Apple M4,unknown,10,16.0,False,,,Darwin,16,256,0.0003,0.005,0.08,0.95,3,linear,5984.09,81.4,79.76,18000,0.93,True
BasicPP0Epsilon.2.SS.110,Apple M4,unknown,10,16.0,False,,,Darwin,128,256,0.0003,0.005,0.12,0.95,7,linear,6093.02,75.8,76.08,24000,0.93,True
BasicPP0Epsilon.2.SS.111,Apple M4,unknown,10,16.0,False,,,Darwin,128,256,0.0003,0.005,0.14,0.95,3,linear,6181.61,80.6,78.74,6000,0.139,False
BasicPP0Epsilon.2.SS.112,Apple M4,unknown,10,16.0,False,,,Darwin,128,256,0.0003,0.005,0.14,0.95,4,linear,6164.83,78.2,80.17,10000,0.109,False
BasicPP0Epsilon.2.SS.113,Apple M4,unknown,10,16.0,False,,,Darwin,128,256,0.0003,0.005,0.14,0.95,5,linear,6176.67,77.0,77.16,30000,0.93,True
BasicPP0Epsilon.2.SS.114,Apple M4,unknown,10,16.0,False,,,Darwin,128,256,0.0003,0.005,0.14,0.95,6,linear,6247.39,78.3,76.59,34000,0.93,True
BasicPP0Epsilon.2.SS.115,Apple M4,unknown,10,16.0,False,,,Darwin,128,256,0.0003,0.005,0.14,0.95,7,linear,6046.3,79.9,79.88,20000,0.93,True
BasicPP0Epsilon.2.SS.116,Apple M4,unknown,10,16.0,False,,,Darwin,128,256,0.0003,0.005,0.16,0.95,3,linear,6005.5,80.1,79.1,44000,0.93,True
BasicPP0Epsilon.2.SS.117,Apple M4,unknown,10,16.0,False,,,Darwin,128,256,0.0003,0.005,0.16,0.95,4,linear,6249.08,77.6,78.16,44000,0.93,True
BasicPP0Epsilon.2.SS.118,Apple M4,unknown,10,16.0,False,,,Darwin,128,256,0.0003,0.005,0.16,0.95,5,linear,6437.62,77.3,77.8,36000,0.93,True
BasicPP0Epsilon.2.SS.119,Apple M4,unknown,10,16.0,False,,,Darwin,128,256,0.0003,0.005,0.16,0.95,6,linear,6327.25,78.3,77.2,32000,0.93,True
BasicPP0Epsilon.2.SS.12,Apple M4,unknown,10,16.0,False,,,Darwin,16,256,0.0003,0.005,0.08,0.95,4,linear,6450.39,83.7,80.41,14000,0.93,True
BasicPP0Epsilon.2.SS.120,Apple M4,unknown,10,16.0,False,,,Darwin,128,256,0.0003,0.005,0.16,0.95,7,linear,6996.59,80.8,79.71,24000,0.93,True
BasicPP0Epsilon.2.SS.13,Apple M4,unknown,10,16.0,False,,,Darwin,16,256,0.0003,0.005,0.08,0.95,5,linear,6906.31,85.0,81.38,12000,0.93,True
BasicPP0Epsilon.2.SS.14,Apple M4,unknown,10,16.0,False,,,Darwin,16,256,0.0003,0.005,0.08,0.95,6,linear,6863.34,83.8,82.62,14000,0.93,True
BasicPP0Epsilon.2.SS.15,Apple M4,unknown,10,16.0,False,,,Darwin,16,256,0.0003,0.005,0.08,0.95,7,linear,6798.5,80.2,81.31,12000,0.93,True
BasicPP0Epsilon.2.SS.16,Apple M4,unknown,10,16.0,False,,,Darwin,16,256,0.0003,0.005,0.12,0.95,3,linear,6736.56,84.1,82.36,14000,0.93,True
