ID,cpu_type,cpu_freqcpu_cores,ram_gb,has_nvidia,nvidia_gpu_name,nvidia_vram_gb,os,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,learning_rate_schedule,ram_mb_used,ram_usage_percent,ram_avg_percent,benchmark_steps,benchmark_mean,benchmark_reached
BasicPP0Epsilon.3.SS.20,Apple M4,unknown,10,16.0,False,,,Darwin,16,256,0.0003,0.005,0.12,0.95,7,linear,6388.05,77.4,77.86,10000,0.93,True
BasicPP0Epsilon.3.SS.21,Apple M4,unknown,10,16.0,False,,,Darwin,16,256,0.0003,0.005,0.14,0.95,3,linear,6376.28,78.7,78.99,12000,0.93,True
BasicPP0Epsilon.3.SS.22,Apple M4,unknown,10,16.0,False,,,Darwin,16,256,0.0003,0.005,0.14,0.95,4,linear,6266.91,78.4,78.49,14000,0.93,True
BasicPP0Epsilon.3.SS.23,Apple M4,unknown,10,16.0,False,,,Darwin,16,256,0.0003,0.005,0.14,0.95,5,linear,6310.92,78.7,79.25,16000,0.93,True
BasicPP0Epsilon.3.SS.24,Apple M4,unknown,10,16.0,False,,,Darwin,16,256,0.0003,0.005,0.14,0.95,6,linear,6203.42,78.9,79.05,10000,0.93,True
BasicPP0Epsilon.3.SS.25,Apple M4,unknown,10,16.0,False,,,Darwin,16,256,0.0003,0.005,0.14,0.95,7,linear,6353.33,79.2,78.41,8000,0.93,True
BasicPP0Epsilon.3.SS.26,Apple M4,unknown,10,16.0,False,,,Darwin,16,256,0.0003,0.005,0.16,0.95,3,linear,6221.19,78.4,78.7,12000,0.93,True
BasicPP0Epsilon.3.SS.27,Apple M4,unknown,10,16.0,False,,,Darwin,16,256,0.0003,0.005,0.16,0.95,4,linear,6280.95,78.7,78.88,12000,0.93,True
BasicPP0Epsilon.3.SS.28,Apple M4,unknown,10,16.0,False,,,Darwin,16,256,0.0003,0.005,0.16,0.95,5,linear,6350.92,80.3,79.22,4000,0.072,False
BasicPP0Epsilon.3.SS.29,Apple M4,unknown,10,16.0,False,,,Darwin,16,256,0.0003,0.005,0.16,0.95,6,linear,6199.16,78.9,78.97,10000,0.93,True
BasicPP0Epsilon.3.SS.3,Apple M4,unknown,10,16.0,False,,,Darwin,16,256,0.0003,0.005,0.04,0.95,5,linear,6135.53,79.2,79.48,16000,0.93,True
BasicPP0Epsilon.3.SS.30,Apple M4,unknown,10,16.0,False,,,Darwin,16,256,0.0003,0.005,0.16,0.95,7,linear,6320.55,80.0,79.34,10000,0.93,True
BasicPP0Epsilon.3.SS.31,Apple M4,unknown,10,16.0,False,,,Darwin,32,256,0.0003,0.005,0.04,0.95,3,linear,6244.81,78.4,78.62,22000,0.93,True
BasicPP0Epsilon.3.SS.32,Apple M4,unknown,10,16.0,False,,,Darwin,32,256,0.0003,0.005,0.04,0.95,4,linear,6266.83,79.5,79.41,18000,0.93,True
