Feature,Correlation,Abs_Correlation
cpu_freqcpu_cores,0.9542088335111175,0.9542088335111175
has_nvidia,0.9542088335111173,0.9542088335111173
ram_usage_percent,-0.5908647715680121,0.5908647715680121
ram_avg_percent,-0.5726723868370688,0.5726723868370688
epsilon,0.43826731487822124,0.43826731487822124
num_epoch,-0.025825453727978967,0.025825453727978967
beta,0.015627298084970268,0.015627298084970268
batch_size,0.015614746328760105,0.015614746328760105
benchmark_steps,0.00845503354633342,0.00845503354633342
benchmark_mean,-0.0017261441762171012,0.0017261441762171012
ram_gb,,
buffer_size,,
learning_rate,,
lambd,,
