Timestamp,RAM_Usage_percent,RAM_Avg_percent,RAM_Used_MB
2026-01-19 05:07:27,78.3,78.3,5935.84
2026-01-19 05:07:32,78.0,78.15,5896.0
2026-01-19 05:07:37,78.0,78.1,5932.77
2026-01-19 05:07:42,78.0,78.08,5978.45
2026-01-19 05:07:47,77.8,78.02,5992.83
2026-01-19 05:07:52,77.8,77.98,5994.66
2026-01-19 05:07:57,77.7,77.94,5990.11
2026-01-19 05:08:02,78.6,78.03,5921.7
2026-01-19 05:08:07,78.1,78.03,5855.33
2026-01-19 05:08:12,77.6,77.99,6048.33
2026-01-19 05:08:17,77.5,77.95,6049.66
2026-01-19 05:08:22,76.9,77.86,6155.91
2026-01-19 05:08:27,77.1,77.8,6137.75
2026-01-19 05:08:32,77.4,77.77,6255.33
2026-01-19 05:08:37,77.6,77.76,6236.44
2026-01-19 05:08:42,77.2,77.73,6243.83
2026-01-19 05:08:47,76.6,77.66,6163.17
2026-01-19 05:08:52,76.5,77.59,6185.77
2026-01-19 05:08:57,76.7,77.55,6161.5
2026-01-19 05:09:02,77.2,77.53,6089.14
2026-01-19 05:09:07,76.9,77.5,6070.62
2026-01-19 05:09:12,77.0,77.48,6096.27
2026-01-19 05:09:17,76.9,77.45,6097.27
2026-01-19 05:09:22,77.0,77.43,6107.03
2026-01-19 05:09:27,77.1,77.42,6122.22
2026-01-19 05:09:32,77.0,77.4,6113.25
2026-01-19 05:09:38,77.3,77.4,6059.8
2026-01-19 05:09:43,77.1,77.39,6110.38
2026-01-19 05:09:48,76.9,77.37,6133.83
2026-01-19 05:09:53,77.0,77.36,6149.81
2026-01-19 05:09:58,77.8,77.37,6242.58
2026-01-19 05:10:03,78.2,77.4,6157.7
2026-01-19 05:10:08,77.7,77.41,6095.39
2026-01-19 05:10:13,77.7,77.42,6144.7
2026-01-19 05:10:18,77.1,77.41,6082.12
2026-01-19 05:10:23,77.2,77.4,6130.34
2026-01-19 05:10:28,77.0,77.39,6129.73
2026-01-19 05:10:33,77.0,77.38,6139.94
2026-01-19 05:10:38,76.9,77.37,6134.48
2026-01-19 05:10:43,76.9,77.36,6135.7
2026-01-19 05:10:48,76.8,77.34,6125.14
2026-01-19 05:10:53,76.8,77.33,6123.05
2026-01-19 05:10:58,76.9,77.32,6140.41
2026-01-19 05:11:03,77.5,77.33,6060.06
2026-01-19 05:11:08,77.1,77.32,6003.3
2026-01-19 05:11:13,76.9,77.31,6100.75
2026-01-19 05:11:18,77.0,77.3,6131.11
2026-01-19 05:11:23,76.9,77.3,6168.12
2026-01-19 05:11:28,77.6,77.3,6219.14
2026-01-19 05:11:33,77.6,77.31,6220.83
2026-01-19 05:11:38,77.7,77.32,6224.22
2026-01-19 05:11:43,77.6,77.32,6115.77
2026-01-19 05:11:48,76.9,77.31,5992.58
2026-01-19 05:11:53,76.8,77.3,6074.89
2026-01-19 05:11:58,77.3,77.3,6312.94
2026-01-19 05:12:03,77.3,77.3,6132.33
2026-01-19 05:12:08,76.7,77.29,6056.94
2026-01-19 05:12:13,76.7,77.28,6148.3
2026-01-19 05:12:18,76.7,77.27,6181.58
2026-01-19 05:12:23,76.6,77.26,6194.81
2026-01-19 05:12:28,76.8,77.25,6181.66
2026-01-19 05:12:33,76.7,77.25,6171.64
2026-01-19 05:12:38,76.7,77.24,6162.53
2026-01-19 05:12:43,77.0,77.23,6051.81
2026-01-19 05:12:48,76.9,77.23,6061.61
2026-01-19 05:12:53,77.4,77.23,6155.89
2026-01-19 05:12:58,77.6,77.24,6251.75
2026-01-19 05:13:03,77.7,77.24,6173.95
2026-01-19 05:13:08,77.3,77.24,6144.73
2026-01-19 05:13:13,77.0,77.24,6087.47
2026-01-19 05:13:18,76.9,77.24,6087.02
2026-01-19 05:13:23,76.9,77.23,6147.42
2026-01-19 05:13:28,77.0,77.23,6110.27
2026-01-19 05:13:33,76.8,77.22,6090.95
2026-01-19 05:13:38,76.8,77.22,6102.5
2026-01-19 05:13:43,76.9,77.21,6129.33
2026-01-19 05:13:48,76.8,77.21,6122.0
2026-01-19 05:13:53,76.7,77.2,6121.8
2026-01-19 05:13:58,76.9,77.2,6141.19
2026-01-19 05:14:03,77.1,77.19,6058.22
2026-01-19 05:14:08,76.9,77.19,6022.73
2026-01-19 05:14:13,77.0,77.19,6119.88
2026-01-19 05:14:18,77.0,77.19,6122.69
2026-01-19 05:14:23,77.8,77.19,6189.83
2026-01-19 05:14:28,77.8,77.2,6231.98
2026-01-19 05:14:33,77.7,77.21,6202.7
2026-01-19 05:14:38,78.1,77.22,6247.17
2026-01-19 05:14:43,77.0,77.21,6093.22
2026-01-19 05:14:48,76.9,77.21,6082.75
2026-01-19 05:14:53,76.9,77.21,6082.62
2026-01-19 05:14:58,77.3,77.21,6068.7
2026-01-19 05:15:03,77.7,77.21,6014.11
2026-01-19 05:15:08,77.2,77.21,6102.25
2026-01-19 05:15:13,77.4,77.22,6024.84
2026-01-19 05:15:18,77.4,77.22,6004.59
2026-01-19 05:15:23,77.2,77.22,6090.64
2026-01-19 05:15:28,77.3,77.22,6094.56
2026-01-19 05:15:33,77.3,77.22,6075.58
2026-01-19 05:15:38,77.3,77.22,6077.39
2026-01-19 05:15:43,76.8,77.22,6135.25
2026-01-19 05:15:48,77.4,77.22,6253.25
2026-01-19 05:15:53,77.4,77.22,6217.66
2026-01-19 05:15:58,77.7,77.22,6239.3
2026-01-19 05:16:03,78.2,77.23,6128.86
2026-01-19 05:16:08,77.1,77.23,5968.39
2026-01-19 05:16:13,77.3,77.23,6055.59
2026-01-19 05:16:18,77.5,77.24,6053.61
2026-01-19 05:16:23,77.1,77.23,6115.17
2026-01-19 05:16:28,77.6,77.24,6125.91
2026-01-19 05:16:33,77.2,77.24,6075.09
2026-01-19 05:16:38,77.2,77.24,6092.06
2026-01-19 05:16:43,78.0,77.24,6215.78
2026-01-19 05:16:48,77.0,77.24,6116.94
2026-01-19 05:16:53,77.0,77.24,6104.91
2026-01-19 05:16:58,78.5,77.25,6134.7
2026-01-19 05:17:03,78.3,77.26,5894.03
2026-01-19 05:17:08,78.4,77.27,5935.86
2026-01-19 05:17:13,78.7,77.28,6079.52
2026-01-19 05:17:18,78.5,77.29,6052.28
2026-01-19 05:17:23,78.1,77.3,6113.19
2026-01-19 05:17:28,78.4,77.31,6137.69
2026-01-19 05:17:33,77.6,77.31,6020.8
2026-01-19 05:17:38,77.5,77.31,5998.47
2026-01-19 05:17:43,77.3,77.31,6099.94
2026-01-19 05:17:48,77.1,77.31,6123.69
2026-01-19 05:17:53,77.0,77.31,6097.19
2026-01-19 05:17:58,77.4,77.31,6075.91
2026-01-19 05:18:03,77.6,77.31,6025.08
2026-01-19 05:18:08,77.4,77.31,6019.11
2026-01-19 05:18:13,77.6,77.31,6045.34
2026-01-19 05:18:18,77.6,77.32,6043.83
2026-01-19 05:18:23,77.4,77.32,6075.64
2026-01-19 05:18:28,78.1,77.32,6198.03
2026-01-19 05:18:33,77.4,77.32,6087.64
2026-01-19 05:18:38,77.3,77.32,6087.59
2026-01-19 05:18:43,78.0,77.33,6201.75
2026-01-19 05:18:48,77.8,77.33,6196.06
2026-01-19 05:18:53,77.8,77.33,6193.84
2026-01-19 05:18:58,78.0,77.34,6221.91
2026-01-19 05:19:03,77.5,77.34,6077.41
2026-01-19 05:19:08,77.4,77.34,5975.28
