Timestamp,RAM_Usage_percent,RAM_Avg_percent,RAM_Used_MB
2026-01-19 09:07:50,80.3,80.3,5976.94
2026-01-19 09:33:41,82.9,82.9,5066.28
2026-01-19 09:33:46,81.1,82.0,5467.33
2026-01-19 09:33:51,81.9,81.97,5416.27
2026-01-19 09:33:56,81.3,81.8,5317.08
2026-01-19 09:34:01,81.8,81.8,5431.41
2026-01-19 09:34:06,81.6,81.77,5543.91
2026-01-19 09:34:11,81.1,81.67,5362.08
2026-01-19 09:34:16,81.1,81.6,5357.33
2026-01-19 09:34:21,81.0,81.53,5329.28
2026-01-19 09:34:26,81.2,81.5,5345.73
2026-01-19 09:34:31,81.6,81.51,5431.69
2026-01-19 09:34:36,81.4,81.5,5328.3
2026-01-19 09:34:41,81.2,81.48,5303.92
2026-01-19 09:34:46,81.3,81.46,5382.19
2026-01-19 09:34:51,81.2,81.45,5389.41
2026-01-19 09:34:56,79.9,81.35,5380.25
2026-01-19 09:35:01,80.4,81.29,5530.42
2026-01-19 09:35:06,79.3,81.18,5433.08
2026-01-19 09:35:11,79.7,81.11,5442.75
2026-01-19 09:35:16,80.4,81.07,5497.05
2026-01-19 09:35:21,80.9,81.06,5440.03
2026-01-19 09:35:26,80.9,81.05,5445.72
2026-01-19 09:35:31,80.3,81.02,5392.94
2026-01-19 09:35:36,80.9,81.02,5374.03
2026-01-19 09:35:41,80.3,80.99,5155.53
2026-01-19 09:35:46,80.2,80.96,5447.97
2026-01-19 09:35:51,80.5,80.94,5354.06
2026-01-19 09:35:56,81.5,80.96,5306.33
2026-01-19 09:36:01,81.9,80.99,5389.97
2026-01-19 09:36:06,80.3,80.97,5240.5
2026-01-19 09:36:11,81.1,80.97,5374.42
2026-01-19 09:36:16,80.6,80.96,5394.64
2026-01-19 09:36:21,80.4,80.95,5355.44
2026-01-19 09:36:26,82.0,80.98,5220.88
2026-01-19 09:36:31,80.0,80.95,5499.03
2026-01-19 09:36:36,79.4,80.91,5286.53
2026-01-19 09:36:41,80.6,80.9,5458.58
2026-01-19 09:36:46,80.7,80.89,5403.19
2026-01-19 09:36:51,79.7,80.86,5307.33
2026-01-19 09:36:56,80.0,80.84,5378.8
2026-01-19 09:37:01,80.2,80.82,5445.0
2026-01-19 09:37:06,82.3,80.86,5316.83
2026-01-19 09:37:11,82.6,80.9,5609.16
2026-01-19 09:37:16,79.8,80.88,5540.7
2026-01-19 09:37:21,79.1,80.84,5627.02
