Timestamp,RAM_Usage_percent,RAM_Avg_percent,RAM_Used_MB
2026-01-18 10:21:10,83.8,83.8,5830.28
2026-01-18 10:21:15,78.9,81.35,5887.78
2026-01-18 10:21:20,78.9,80.53,5973.69
2026-01-18 10:21:25,79.7,80.33,6152.05
2026-01-18 10:21:30,78.7,80.0,6004.05
2026-01-18 10:21:35,78.6,79.77,6134.98
2026-01-18 10:21:40,79.7,79.76,6182.83
2026-01-18 10:21:45,78.4,79.59,6086.83
2026-01-18 10:21:50,78.2,79.43,6052.06
2026-01-18 10:21:55,79.3,79.42,6259.0
2026-01-18 10:22:00,78.2,79.31,6096.3
2026-01-18 10:22:05,78.1,79.21,6095.94
2026-01-18 10:22:10,79.6,79.24,6189.02
2026-01-18 10:22:15,79.2,79.24,6172.73
2026-01-18 10:22:20,79.3,79.24,6184.27
2026-01-18 10:22:25,79.5,79.26,6181.5
2026-01-18 10:22:30,78.5,79.21,6026.39
2026-01-18 10:22:35,77.8,79.13,6158.86
2026-01-18 10:22:40,79.1,79.13,6286.0
2026-01-18 10:22:45,77.9,79.07,6117.33
2026-01-18 10:22:50,77.9,79.01,6116.44
2026-01-18 10:22:55,79.0,79.01,6283.53
2026-01-18 10:23:00,78.7,79.0,6248.83
2026-01-18 10:23:05,79.2,79.01,6194.69
2026-01-18 10:23:10,79.4,79.02,6219.03
2026-01-18 10:23:15,78.2,78.99,6051.2
2026-01-18 10:23:20,78.2,78.96,6061.84
2026-01-18 10:23:25,79.3,78.98,6255.39
2026-01-18 10:23:30,78.1,78.94,6092.81
2026-01-18 10:23:35,78.4,78.93,6335.31
2026-01-18 10:23:40,79.0,78.93,6320.84
2026-01-18 10:23:45,77.6,78.89,6149.92
2026-01-18 10:23:50,77.6,78.85,6142.0
2026-01-18 10:23:55,78.8,78.85,6325.56
2026-01-18 10:24:00,77.7,78.81,6148.28
2026-01-18 10:24:05,77.9,78.79,6135.75
2026-01-18 10:24:10,79.2,78.8,6263.06
2026-01-18 10:24:15,78.9,78.8,6252.52
2026-01-18 10:24:20,77.8,78.78,6094.8
2026-01-18 10:24:25,79.1,78.78,6253.84
2026-01-18 10:24:30,78.0,78.77,6066.95
2026-01-18 10:24:35,77.8,78.74,6119.19
2026-01-18 10:24:40,78.9,78.75,6294.17
2026-01-18 10:24:45,77.7,78.72,6135.2
2026-01-18 10:24:50,78.1,78.71,6205.44
2026-01-18 10:24:55,78.9,78.71,6309.56
2026-01-18 10:25:00,77.9,78.7,6145.33
2026-01-18 10:25:05,78.0,78.68,6036.17
2026-01-18 10:25:10,79.2,78.69,6252.14
2026-01-18 10:25:15,77.9,78.68,6118.12
2026-01-18 10:25:20,78.0,78.66,6098.92
2026-01-18 10:25:25,79.3,78.68,6227.66
2026-01-18 10:25:30,79.1,78.68,6220.97
2026-01-18 10:25:35,78.7,78.68,6279.16
2026-01-18 10:25:40,79.3,78.69,6225.19
2026-01-18 10:25:45,78.1,78.68,6040.38
2026-01-18 10:25:50,78.2,78.68,6051.47
2026-01-18 10:25:55,79.4,78.69,6220.97
2026-01-18 10:26:00,77.7,78.67,6135.12
2026-01-18 10:26:05,78.5,78.67,6113.12
2026-01-18 10:26:10,79.3,78.68,6219.33
2026-01-18 10:26:15,78.2,78.67,6051.88
2026-01-18 10:26:20,78.1,78.66,6061.31
2026-01-18 10:26:25,79.5,78.68,6221.89
2026-01-18 10:26:30,78.4,78.67,6058.86
2026-01-18 10:26:35,78.3,78.67,6084.62
2026-01-18 10:26:40,79.3,78.67,6253.12
2026-01-18 10:26:45,79.1,78.68,6224.42
2026-01-18 10:26:50,78.1,78.67,6064.27
2026-01-18 10:26:55,79.1,78.68,6271.88
2026-01-18 10:27:00,78.0,78.67,6153.84
2026-01-18 10:27:05,78.2,78.66,6098.95
2026-01-18 10:27:10,79.5,78.67,6201.34
2026-01-18 10:27:15,78.5,78.67,6052.11
2026-01-18 10:27:20,78.6,78.67,6099.94
2026-01-18 10:27:25,79.3,78.68,6228.08
2026-01-18 10:27:30,78.3,78.67,6069.16
2026-01-18 10:27:35,78.2,78.67,6092.72
2026-01-18 10:27:40,79.5,78.68,6209.67
2026-01-18 10:27:45,78.4,78.68,6059.19
2026-01-18 10:27:50,78.2,78.67,6070.59
2026-01-18 10:27:55,79.3,78.68,6262.78
2026-01-18 10:28:00,78.3,78.67,6353.17
2026-01-18 10:28:05,77.8,78.66,6112.33
2026-01-18 10:28:10,79.3,78.67,6238.95
2026-01-18 10:28:15,78.1,78.66,6065.22
2026-01-18 10:28:20,78.2,78.66,6076.52
2026-01-18 10:28:25,79.1,78.66,6268.47
2026-01-18 10:28:30,78.1,78.66,6118.8
2026-01-18 10:28:35,78.6,78.66,6292.41
2026-01-18 10:28:40,79.3,78.66,6238.33
2026-01-18 10:28:45,77.9,78.65,6126.81
2026-01-18 10:28:50,78.0,78.65,6092.55
2026-01-18 10:28:55,79.2,78.65,6250.03
2026-01-18 10:29:00,78.0,78.65,6126.7
2026-01-18 10:29:05,78.0,78.64,6129.08
2026-01-18 10:29:10,79.2,78.65,6263.19
2026-01-18 10:29:15,78.9,78.65,6240.3
2026-01-18 10:29:20,78.1,78.64,6126.69
2026-01-18 10:29:25,79.2,78.65,6272.45
2026-01-18 10:29:30,77.8,78.64,6138.41
2026-01-18 10:29:35,77.8,78.63,6172.77
2026-01-18 10:29:40,79.3,78.64,6259.89
2026-01-18 10:29:45,78.3,78.63,6112.16
2026-01-18 10:29:50,78.9,78.64,6222.8
2026-01-18 10:29:55,79.2,78.64,6262.45
2026-01-18 10:30:00,77.9,78.64,6091.05
2026-01-18 10:30:05,78.0,78.63,6078.12
2026-01-18 10:30:10,79.5,78.64,6193.12
2026-01-18 10:30:15,78.8,78.64,6023.08
2026-01-18 10:30:20,78.6,78.64,6028.11
2026-01-18 10:30:25,80.7,78.66,6003.06
2026-01-18 10:30:30,79.1,78.66,5950.14
2026-01-18 10:30:35,79.0,78.66,5980.64
2026-01-18 10:30:40,80.2,78.68,6105.3
2026-01-18 10:30:45,79.1,78.68,5987.14
2026-01-18 10:30:50,78.8,78.68,5986.7
2026-01-18 10:30:55,80.0,78.69,6122.41
2026-01-18 10:31:00,79.3,78.7,6181.36
2026-01-18 10:31:05,85.2,78.75,6224.44
2026-01-18 10:31:10,84.5,78.8,6582.48
2026-01-18 10:31:15,79.0,78.8,6049.98
2026-01-18 10:31:20,78.7,78.8,6090.41
2026-01-18 10:31:25,79.9,78.81,6230.36
2026-01-18 10:31:30,78.3,78.81,6170.95
2026-01-18 10:31:35,77.8,78.8,6239.66
2026-01-18 10:31:40,79.5,78.8,6298.39
2026-01-18 10:31:45,77.7,78.79,6185.06
2026-01-18 10:31:50,77.8,78.79,6200.06
2026-01-18 10:31:55,79.0,78.79,6351.86
2026-01-18 10:32:00,78.7,78.79,6401.09
2026-01-18 10:32:05,77.9,78.78,6178.23
2026-01-18 10:32:10,79.3,78.78,6345.0
2026-01-18 10:32:15,78.1,78.78,6186.0
2026-01-18 10:32:20,78.0,78.77,6189.62
2026-01-18 10:32:25,79.1,78.78,6372.61
2026-01-18 10:32:30,78.1,78.77,6193.55
2026-01-18 10:32:35,78.0,78.77,6293.03
2026-01-18 10:32:40,79.1,78.77,6363.12
2026-01-18 10:32:45,78.0,78.76,6175.83
2026-01-18 10:32:50,78.7,78.76,6296.14
2026-01-18 10:32:55,79.3,78.77,6382.45
2026-01-18 10:33:00,77.7,78.76,6275.31
2026-01-18 10:33:05,78.7,78.76,6290.59
2026-01-18 10:33:10,79.3,78.76,6349.44
2026-01-18 10:33:15,79.8,78.77,6374.16
2026-01-18 10:33:20,78.2,78.77,6119.23
2026-01-18 10:33:25,79.3,78.77,6311.09
2026-01-18 10:33:30,78.3,78.77,6156.58
2026-01-18 10:33:35,77.9,78.76,6256.31
2026-01-18 10:33:40,79.1,78.76,6419.56
2026-01-18 10:33:45,77.8,78.76,6244.14
2026-01-18 10:33:50,78.7,78.76,6382.31
2026-01-18 10:33:55,79.1,78.76,6417.19
2026-01-18 10:34:00,77.7,78.75,6275.77
2026-01-18 10:34:05,78.0,78.75,6183.42
2026-01-18 10:34:10,79.1,78.75,6403.73
2026-01-18 10:34:15,77.8,78.74,6219.75
2026-01-18 10:34:20,77.8,78.74,6224.78
2026-01-18 10:34:25,78.8,78.74,6454.64
2026-01-18 10:34:30,78.6,78.74,6392.89
2026-01-18 10:34:35,77.4,78.73,6306.58
2026-01-18 10:34:40,78.8,78.73,6362.19
2026-01-18 10:34:45,77.4,78.72,6288.03
2026-01-18 10:34:50,77.4,78.71,6243.62
2026-01-18 10:34:55,78.7,78.71,6409.94
2026-01-18 10:35:00,77.4,78.7,6311.77
2026-01-18 10:35:05,78.6,78.7,6386.02
2026-01-18 10:35:10,79.0,78.71,6382.23
2026-01-18 10:35:15,78.0,78.7,6195.25
2026-01-18 10:35:20,77.8,78.7,6193.34
2026-01-18 10:35:25,79.0,78.7,6348.34
2026-01-18 10:35:30,77.4,78.69,6317.52
