Timestamp,RAM_Usage_percent,RAM_Avg_percent,RAM_Used_MB
2026-01-17 17:43:06,77.3,77.3,5926.61
2026-01-17 17:43:11,76.9,77.1,5909.0
2026-01-17 17:43:16,76.7,76.97,6162.09
2026-01-17 17:43:21,75.5,76.6,6031.39
2026-01-17 17:43:26,75.9,76.46,6071.2
2026-01-17 17:43:31,75.8,76.35,6198.62
2026-01-17 17:43:36,74.7,76.11,6053.14
2026-01-17 17:43:41,75.7,76.06,6204.83
2026-01-17 17:43:46,76.0,76.06,6118.86
2026-01-17 17:43:51,76.1,76.06,6146.55
2026-01-17 17:43:56,75.4,76.0,6054.27
2026-01-17 17:44:01,77.0,76.08,6137.95
2026-01-17 17:44:06,76.2,76.09,6048.67
2026-01-17 17:44:11,75.7,76.06,5984.22
2026-01-17 17:44:16,75.2,76.01,5959.05
2026-01-17 17:44:21,76.2,76.02,6144.89
2026-01-17 17:44:26,75.3,75.98,6027.94
2026-01-17 17:44:31,75.7,75.96,6121.53
2026-01-17 17:44:36,75.9,75.96,6141.7
2026-01-17 17:44:41,75.0,75.91,5959.02
2026-01-17 17:44:46,75.4,75.89,6064.3
2026-01-17 17:44:51,75.3,75.86,6042.78
2026-01-17 17:44:56,75.4,75.84,6114.59
2026-01-17 17:45:01,76.3,75.86,6101.53
2026-01-17 17:45:06,75.2,75.83,5943.36
2026-01-17 17:45:11,75.1,75.8,5940.55
2026-01-17 17:45:16,74.7,75.76,6150.62
2026-01-17 17:45:21,74.4,75.71,6113.52
2026-01-17 17:45:26,74.4,75.67,6110.48
2026-01-17 17:45:31,76.3,75.69,6238.2
2026-01-17 17:45:36,75.4,75.68,5885.23
2026-01-17 17:45:41,75.3,75.67,5970.05
2026-01-17 17:45:46,75.4,75.66,6097.66
2026-01-17 17:45:51,75.4,75.65,6103.83
2026-01-17 17:45:56,75.2,75.64,5992.92
2026-01-17 17:46:01,76.8,75.67,6179.98
2026-01-17 17:46:06,76.1,75.68,6083.92
2026-01-17 17:46:11,75.2,75.67,5953.77
2026-01-17 17:46:16,76.5,75.69,6101.69
2026-01-17 17:46:21,76.0,75.7,6051.61
2026-01-17 17:46:26,75.3,75.69,5948.98
2026-01-17 17:46:31,75.6,75.69,6062.0
2026-01-17 17:46:36,75.3,75.68,5983.41
2026-01-17 17:46:41,75.1,75.67,5972.7
2026-01-17 17:46:46,75.6,75.66,6032.66
2026-01-17 17:46:51,75.2,75.65,5970.03
2026-01-17 17:46:56,75.6,75.65,6013.5
2026-01-17 17:47:01,76.9,75.68,6124.12
2026-01-17 17:47:06,76.1,75.69,6010.08
2026-01-17 17:47:11,75.7,75.69,6051.81
2026-01-17 17:47:16,75.3,75.68,5935.86
2026-01-17 17:47:21,75.7,75.68,6010.14
2026-01-17 17:47:26,75.7,75.68,6042.81
2026-01-17 17:47:31,75.5,75.68,6068.67
2026-01-17 17:47:36,75.7,75.68,6054.52
2026-01-17 17:47:41,75.4,75.67,6010.44
2026-01-17 17:47:46,75.2,75.66,6060.45
2026-01-17 17:47:51,75.1,75.66,6049.75
2026-01-17 17:47:56,74.8,75.64,6020.5
2026-01-17 17:48:01,75.4,75.64,6163.39
2026-01-17 17:48:06,76.0,75.64,6069.34
2026-01-17 17:48:11,75.2,75.64,5955.98
2026-01-17 17:48:16,75.9,75.64,6107.88
2026-01-17 17:48:21,75.6,75.64,6054.31
2026-01-17 17:48:26,75.7,75.64,6043.69
2026-01-17 17:48:31,75.7,75.64,6085.03
2026-01-17 17:48:36,75.2,75.63,5974.27
2026-01-17 17:48:41,75.1,75.63,5976.56
2026-01-17 17:48:46,77.1,75.65,6158.14
2026-01-17 17:48:51,76.7,75.66,6057.36
2026-01-17 17:48:56,76.2,75.67,5955.78
2026-01-17 17:49:01,77.1,75.69,6120.5
2026-01-17 17:49:06,76.9,75.71,5798.77
2026-01-17 17:49:11,76.2,75.71,5847.97
2026-01-17 17:49:16,75.8,75.71,5864.84
2026-01-17 17:49:21,75.9,75.72,5847.02
2026-01-17 17:49:26,75.5,75.71,5810.58
2026-01-17 17:49:31,75.5,75.71,6023.73
2026-01-17 17:49:36,75.2,75.71,6033.72
2026-01-17 17:49:41,75.5,75.7,6083.0
