Timestamp,RAM_Usage_percent,RAM_Avg_percent,RAM_Used_MB
2026-01-18 11:34:15,80.2,80.2,6185.41
2026-01-18 11:34:20,80.8,80.5,6018.88
2026-01-18 11:34:25,79.1,80.03,6056.38
2026-01-18 11:34:30,79.0,79.78,6077.38
2026-01-18 11:34:35,78.8,79.58,6136.47
2026-01-18 11:34:40,79.8,79.62,6216.08
2026-01-18 11:34:45,79.7,79.63,6228.83
2026-01-18 11:34:50,78.6,79.5,6162.55
2026-01-18 11:34:55,78.4,79.38,6167.91
2026-01-18 11:35:00,78.3,79.27,6171.72
2026-01-18 11:35:05,78.9,79.24,6087.84
2026-01-18 11:35:10,78.5,79.17,6141.41
2026-01-18 11:35:15,78.5,79.12,6152.11
2026-01-18 11:35:20,79.5,79.15,6249.66
2026-01-18 11:35:25,79.5,79.17,6254.39
2026-01-18 11:35:30,78.4,79.12,6170.22
2026-01-18 11:35:35,78.3,79.08,6178.52
2026-01-18 11:35:40,78.4,79.04,6182.69
2026-01-18 11:35:45,78.2,78.99,6166.75
2026-01-18 11:35:50,78.5,78.97,6106.05
2026-01-18 11:35:55,78.3,78.94,6125.38
2026-01-18 11:36:00,78.5,78.92,6156.5
2026-01-18 11:36:05,79.6,78.95,6215.59
2026-01-18 11:36:10,79.6,78.97,6242.27
2026-01-18 11:36:15,78.1,78.94,6036.27
2026-01-18 11:36:20,78.3,78.92,6095.05
2026-01-18 11:36:25,78.2,78.89,6107.34
2026-01-18 11:36:30,78.1,78.86,6116.33
2026-01-18 11:36:35,78.1,78.83,6142.0
2026-01-18 11:36:40,78.2,78.81,6118.94
2026-01-18 11:36:45,78.4,78.8,6138.03
2026-01-18 11:36:50,78.9,78.8,6244.28
2026-01-18 11:36:55,78.9,78.81,6262.44
2026-01-18 11:37:00,77.9,78.78,6125.8
2026-01-18 11:37:05,78.3,78.77,6107.33
2026-01-18 11:37:10,78.3,78.75,6086.98
2026-01-18 11:37:15,78.1,78.74,6069.64
2026-01-18 11:37:20,78.2,78.72,6221.78
2026-01-18 11:37:25,77.8,78.7,6199.42
2026-01-18 11:37:30,78.4,78.69,6339.5
2026-01-18 11:37:35,79.0,78.7,6248.67
2026-01-18 11:37:40,78.3,78.69,6073.12
2026-01-18 11:37:45,78.2,78.68,6067.83
2026-01-18 11:37:50,78.1,78.66,6147.5
2026-01-18 11:37:55,78.0,78.65,6128.66
2026-01-18 11:38:00,77.9,78.63,6144.11
2026-01-18 11:38:05,78.9,78.64,6003.98
2026-01-18 11:38:10,79.0,78.65,6047.89
2026-01-18 11:38:15,79.4,78.66,6142.67
2026-01-18 11:38:20,78.5,78.66,6040.34
2026-01-18 11:38:25,78.5,78.65,6068.95
2026-01-18 11:38:30,78.4,78.65,6062.17
2026-01-18 11:38:35,78.3,78.64,6122.33
2026-01-18 11:38:40,77.9,78.63,6127.36
2026-01-18 11:38:45,77.9,78.62,6141.83
