Timestamp,RAM_Usage_percent,RAM_Avg_percent,RAM_Used_MB
2026-01-18 04:06:10,81.5,81.5,5739.11
2026-01-18 04:06:15,80.6,81.05,6065.42
2026-01-18 04:06:20,79.3,80.47,5995.64
2026-01-18 04:06:25,78.9,80.07,6075.25
2026-01-18 04:06:30,79.3,79.92,6014.91
2026-01-18 04:06:35,79.1,79.78,6053.77
2026-01-18 04:06:40,79.3,79.71,5997.59
2026-01-18 04:06:45,79.0,79.62,6027.77
2026-01-18 04:06:50,78.9,79.54,6034.06
2026-01-18 04:06:55,78.8,79.47,6054.52
2026-01-18 04:07:00,78.0,79.34,6245.78
2026-01-18 04:07:05,78.9,79.3,6004.05
2026-01-18 04:07:10,78.8,79.26,6046.7
2026-01-18 04:07:15,78.6,79.21,6060.31
2026-01-18 04:07:20,78.5,79.17,6080.83
2026-01-18 04:07:25,78.4,79.12,6088.23
2026-01-18 04:07:30,78.3,79.07,6129.28
2026-01-18 04:07:35,78.2,79.02,6161.72
2026-01-18 04:07:40,78.1,78.97,6117.8
2026-01-18 04:07:45,78.6,78.95,6107.27
2026-01-18 04:07:50,78.4,78.93,6088.11
2026-01-18 04:07:55,78.5,78.91,6122.84
2026-01-18 04:08:00,78.3,78.88,6138.69
2026-01-18 04:08:05,78.5,78.87,6091.72
2026-01-18 04:08:10,78.4,78.85,6099.84
2026-01-18 04:08:15,78.1,78.82,6103.47
2026-01-18 04:08:20,77.9,78.79,6105.95
2026-01-18 04:08:25,77.8,78.75,6126.72
2026-01-18 04:08:30,78.2,78.73,6097.41
2026-01-18 04:08:35,78.1,78.71,6101.88
2026-01-18 04:08:40,78.0,78.69,6098.31
2026-01-18 04:08:45,77.9,78.66,6181.62
2026-01-18 04:08:50,78.0,78.64,6201.84
2026-01-18 04:08:55,78.5,78.64,6286.84
2026-01-18 04:09:00,78.6,78.64,6268.69
2026-01-18 04:09:05,78.8,78.64,6203.0
2026-01-18 04:09:10,78.8,78.65,6251.81
2026-01-18 04:09:15,78.7,78.65,6270.86
2026-01-18 04:09:20,78.6,78.65,6277.59
2026-01-18 04:09:25,78.7,78.65,6270.27
2026-01-18 04:09:30,77.9,78.63,6091.12
2026-01-18 04:09:35,77.8,78.61,6161.69
2026-01-18 04:09:40,77.8,78.59,6102.56
2026-01-18 04:09:45,77.8,78.57,6107.11
2026-01-18 04:09:50,77.7,78.55,6116.02
2026-01-18 04:09:55,77.6,78.53,6118.17
2026-01-18 04:10:00,77.7,78.51,6109.42
2026-01-18 04:10:05,77.8,78.5,6041.39
2026-01-18 04:10:10,77.8,78.49,6053.02
2026-01-18 04:10:15,77.7,78.47,6099.69
2026-01-18 04:10:20,77.6,78.45,6095.92
2026-01-18 04:10:25,77.7,78.44,6123.81
