Timestamp,RAM_Usage_percent,RAM_Avg_percent,RAM_Used_MB
2026-01-19 05:20:45,78.1,78.1,5947.62
2026-01-19 05:20:50,77.6,77.85,5947.7
2026-01-19 05:20:55,77.6,77.77,5982.97
2026-01-19 05:21:00,77.2,77.62,6084.48
2026-01-19 05:21:05,77.7,77.64,5973.81
2026-01-19 05:21:10,77.7,77.65,6002.98
2026-01-19 05:21:15,77.4,77.61,6072.52
2026-01-19 05:21:20,77.3,77.57,6104.56
2026-01-19 05:21:25,77.7,77.59,6220.92
2026-01-19 05:21:30,78.1,77.64,6150.16
2026-01-19 05:21:35,78.0,77.67,6156.5
2026-01-19 05:21:40,77.4,77.65,6068.56
2026-01-19 05:21:45,77.1,77.61,6081.84
2026-01-19 05:21:50,77.1,77.57,6123.98
2026-01-19 05:21:55,76.9,77.53,6093.11
2026-01-19 05:22:00,77.5,77.53,6152.55
2026-01-19 05:22:05,77.3,77.51,6001.77
2026-01-19 05:22:10,77.2,77.49,6026.47
2026-01-19 05:22:15,77.4,77.49,6046.47
2026-01-19 05:22:20,77.4,77.49,6042.09
2026-01-19 05:22:25,77.0,77.46,5952.64
2026-01-19 05:22:30,77.4,77.46,6074.55
2026-01-19 05:22:35,77.8,77.47,6159.55
2026-01-19 05:22:40,77.8,77.49,6159.09
2026-01-19 05:22:45,77.4,77.48,6212.62
2026-01-19 05:22:50,76.8,77.46,6116.23
2026-01-19 05:22:55,76.7,77.43,6114.47
2026-01-19 05:23:00,77.5,77.43,6166.0
2026-01-19 05:23:05,77.0,77.42,6024.86
2026-01-19 05:23:10,77.0,77.4,6043.62
2026-01-19 05:23:15,77.2,77.4,6106.42
2026-01-19 05:23:20,77.4,77.4,6054.03
2026-01-19 05:23:25,77.1,77.39,6113.02
2026-01-19 05:23:30,77.1,77.38,6098.66
2026-01-19 05:23:35,77.2,77.37,6109.61
2026-01-19 05:23:40,77.2,77.37,6106.61
2026-01-19 05:23:45,77.3,77.37,6187.55
2026-01-19 05:23:50,77.5,77.37,6235.31
2026-01-19 05:23:55,77.5,77.37,6232.06
2026-01-19 05:24:00,77.7,77.38,6123.67
2026-01-19 05:24:05,77.1,77.38,5987.03
2026-01-19 05:24:10,77.1,77.37,6008.58
2026-01-19 05:24:15,77.2,77.37,6066.53
2026-01-19 05:24:20,77.2,77.36,6086.58
2026-01-19 05:24:25,77.1,77.36,6106.62
2026-01-19 05:24:30,77.2,77.35,6069.86
2026-01-19 05:24:35,77.9,77.36,6107.94
2026-01-19 05:24:40,77.3,77.36,6058.59
2026-01-19 05:24:45,77.2,77.36,6095.77
2026-01-19 05:24:50,77.1,77.35,6100.31
2026-01-19 05:24:55,77.6,77.36,6185.08
2026-01-19 05:25:00,78.0,77.37,6237.64
2026-01-19 05:25:05,77.9,77.38,6166.61
2026-01-19 05:25:10,77.0,77.37,6075.12
2026-01-19 05:25:15,77.3,77.37,6110.05
2026-01-19 05:25:20,77.3,77.37,6054.0
2026-01-19 05:25:25,77.1,77.37,6106.69
2026-01-19 05:25:30,77.0,77.36,6107.39
2026-01-19 05:25:35,76.9,77.35,6108.0
2026-01-19 05:25:40,76.9,77.34,6112.42
2026-01-19 05:25:45,77.0,77.34,6116.12
2026-01-19 05:25:50,77.0,77.33,6114.64
2026-01-19 05:25:55,77.0,77.33,6118.45
2026-01-19 05:26:00,77.5,77.33,6150.78
2026-01-19 05:26:05,77.9,77.34,6158.12
2026-01-19 05:26:10,77.7,77.35,6159.59
2026-01-19 05:26:15,77.9,77.35,6188.92
2026-01-19 05:26:20,77.3,77.35,6083.98
2026-01-19 05:26:25,77.1,77.35,6109.47
2026-01-19 05:26:30,76.8,77.34,6158.48
2026-01-19 05:26:35,76.7,77.33,6154.66
2026-01-19 05:26:40,76.7,77.32,6138.91
2026-01-19 05:26:45,76.9,77.32,6146.83
2026-01-19 05:26:50,77.0,77.31,6145.42
2026-01-19 05:26:55,77.1,77.31,6085.89
2026-01-19 05:27:00,77.5,77.31,6151.95
2026-01-19 05:27:05,77.4,77.31,6065.72
2026-01-19 05:27:10,77.4,77.32,6090.69
2026-01-19 05:27:15,77.8,77.32,6186.62
2026-01-19 05:27:20,77.8,77.33,6185.19
2026-01-19 05:27:25,77.8,77.33,6182.41
2026-01-19 05:27:30,77.1,77.33,6106.81
2026-01-19 05:27:35,77.0,77.33,6078.62
2026-01-19 05:27:40,76.9,77.32,5935.58
2026-01-19 05:27:45,77.1,77.32,6094.36
2026-01-19 05:27:50,77.0,77.32,6078.67
2026-01-19 05:27:55,77.1,77.31,6088.47
2026-01-19 05:28:00,77.8,77.32,6118.91
2026-01-19 05:28:05,77.5,77.32,5919.44
2026-01-19 05:28:10,77.5,77.32,6009.83
2026-01-19 05:28:15,77.4,77.32,6059.27
2026-01-19 05:28:20,77.5,77.32,6021.28
2026-01-19 05:28:25,77.2,77.32,6094.92
2026-01-19 05:28:30,77.8,77.33,6205.88
2026-01-19 05:28:35,77.0,77.33,6111.09
2026-01-19 05:28:40,77.0,77.32,6113.98
2026-01-19 05:28:45,76.9,77.32,6087.56
2026-01-19 05:28:50,77.1,77.32,6109.8
2026-01-19 05:28:55,77.0,77.31,6101.56
2026-01-19 05:29:00,77.8,77.32,6114.45
2026-01-19 05:29:05,77.7,77.32,5903.14
2026-01-19 05:29:10,77.6,77.32,5928.23
2026-01-19 05:29:15,77.8,77.33,6016.02
2026-01-19 05:29:20,77.7,77.33,6000.97
2026-01-19 05:29:25,77.9,77.34,6156.45
2026-01-19 05:29:30,77.9,77.34,6171.91
2026-01-19 05:29:35,78.6,77.35,6143.03
2026-01-19 05:29:40,77.5,77.36,5952.44
2026-01-19 05:29:45,77.5,77.36,6070.12
2026-01-19 05:29:50,77.2,77.36,6060.47
2026-01-19 05:29:55,77.1,77.35,6049.98
2026-01-19 05:30:00,77.6,77.36,6144.98
2026-01-19 05:30:05,77.3,77.35,5924.53
2026-01-19 05:30:10,77.3,77.35,5937.39
2026-01-19 05:30:15,77.5,77.36,6006.66
2026-01-19 05:30:20,77.4,77.36,6039.12
2026-01-19 05:30:25,77.2,77.35,6094.06
2026-01-19 05:30:30,77.3,77.35,6109.92
2026-01-19 05:30:35,77.7,77.36,6199.39
2026-01-19 05:30:40,77.7,77.36,6196.86
2026-01-19 05:30:45,77.5,77.36,6193.88
2026-01-19 05:30:50,76.8,77.36,6074.88
2026-01-19 05:30:55,76.9,77.35,6092.23
2026-01-19 05:31:00,77.5,77.35,6134.56
2026-01-19 05:31:05,77.2,77.35,5949.34
2026-01-19 05:31:10,77.2,77.35,5965.5
2026-01-19 05:31:15,77.3,77.35,6038.55
2026-01-19 05:31:20,77.3,77.35,6050.2
2026-01-19 05:31:25,77.5,77.35,6147.92
2026-01-19 05:31:30,77.4,77.35,6054.84
2026-01-19 05:31:35,77.2,77.35,6070.25
2026-01-19 05:31:40,77.3,77.35,6064.59
2026-01-19 05:31:45,78.0,77.36,6148.17
2026-01-19 05:31:50,77.8,77.36,6158.81
2026-01-19 05:31:55,77.9,77.36,6173.97
2026-01-19 05:32:00,77.9,77.37,6067.58
2026-01-19 05:32:05,77.2,77.37,5911.58
2026-01-19 05:32:10,77.2,77.36,5922.02
2026-01-19 05:32:15,77.5,77.37,6013.27
2026-01-19 05:32:20,77.5,77.37,5998.17
2026-01-19 05:32:25,77.5,77.37,6032.52
2026-01-19 05:32:30,77.4,77.37,6035.47
2026-01-19 05:32:35,77.4,77.37,6033.81
2026-01-19 05:32:40,78.5,77.38,6067.12
2026-01-19 05:32:45,77.5,77.38,6058.92
2026-01-19 05:32:50,77.9,77.38,6123.11
2026-01-19 05:32:55,77.9,77.38,6017.8
2026-01-19 05:33:00,78.5,77.39,6158.72
2026-01-19 05:33:05,77.5,77.39,5957.61
2026-01-19 05:33:10,77.5,77.39,5955.81
2026-01-19 05:33:15,78.7,77.4,6057.55
2026-01-19 05:33:20,77.7,77.4,5884.56
2026-01-19 05:33:25,77.5,77.4,6081.06
2026-01-19 05:33:30,77.6,77.41,5979.17
2026-01-19 05:33:35,77.6,77.41,6008.02
2026-01-19 05:33:40,77.6,77.41,6025.28
2026-01-19 05:33:45,77.3,77.41,6095.98
2026-01-19 05:33:50,77.7,77.41,6034.77
2026-01-19 05:33:55,77.7,77.41,6046.91
2026-01-19 05:34:00,78.9,77.42,6114.73
2026-01-19 05:34:05,78.8,77.43,6030.89
2026-01-19 05:34:10,78.5,77.44,6048.08
